account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
Melbourne57,1,218,0.4149,240,3.4371,-3.3652,0.8043,0.0,0.0,0
daenerys777777,1,218,0.4137,241,2.9582,-3.3474,-0.8182,0.0,0.0,0
aprosarmostos_,1,218,0.4133,242,2.4123,-1.5806,1.4888,25.0,0.5,0
vasgeo310,1,218,0.4132,243,2.9967,-3.2778,0.5469,0.0,0.0,0
Asmoudis13,1,218,0.412,244,3.0597,-2.8008,-0.7738,46.25,1.0,0
el39984,1,218,0.4119,245,3.0356,-3.778,-1.136,0.0,0.0,0
Realism_47,1,218,0.4115,246,2.4243,-1.3335,1.1693,45.0,1.0,0
Konstan18155165,1,218,0.4107,247,3.2792,-3.0913,-1.3205,46.25,1.0,0
SuperAnthonyA,1,218,0.4102,248,2.9231,-3.3144,0.4566,0.0,0.0,0
2eateras,1,218,0.4099,249,2.4529,-2.1684,0.8013,28.75,0.5,0
Georgia146690,1,218,0.4098,250,3.193,-3.0617,-1.3032,46.25,1.0,0
sokpap,1,218,0.4097,251,2.7101,-2.5094,0.2175,46.25,1.0,0
Protostatis,1,218,0.4075,252,2.6726,-1.1784,1.341,42.08,1.0,0
Sunflower19731,1,218,0.4068,253,3.0215,-3.6482,-1.0175,0.0,0.0,0
DimitrisP69501,1,218,0.4065,254,3.3732,-3.2333,-1.4058,46.25,1.0,0
__darcelX__,1,218,0.4064,255,3.0962,-3.3686,0.2768,0.0,0.0,0
akrato,1,218,0.4052,256,3.2093,-2.5068,1.9593,46.25,1.0,0
matrixneo1979,1,218,0.4049,257,2.6515,-1.2401,1.3758,60.25,1.0,0
RGialama8386,1,218,0.4023,258,2.4116,-2.4118,-0.9655,42.5,1.0,0
MarkRenieris,1,218,0.4012,259,2.7938,-3.5274,-0.5923,0.0,0.0,0
VaragiosP,1,218,0.401,260,2.0253,-2.5925,-0.0021,28.75,0.5,0
pJNs4ACgiayAknX,1,218,0.401,261,2.9497,-3.4071,0.6484,0.0,0.0,0
Klearxos8,1,218,0.4008,262,2.085,-2.1596,1.0865,40.0,1.0,0
DoctorStrangeGr,1,218,0.4002,263,2.8395,-3.3974,-0.0258,0.0,0.0,0
RXRqdEgogik2Z9P,1,218,0.399,264,2.4529,-2.5694,1.0757,20.0,0.25,0
LKleitou,1,218,0.3989,265,3.237,-3.3451,0.9893,0.0,0.0,0
communakios,1,218,0.3972,266,2.6544,-2.5573,1.4943,45.0,1.0,0
Savaso1955,1,218,0.3971,267,2.8744,-3.2032,-0.5095,45.0,1.0,0
giapantaxontros,1,218,0.397,268,2.8649,-3.556,-0.7244,0.0,0.0,0
milinimaria,1,218,0.3969,269,3.0592,-2.5769,1.6424,46.25,1.0,0
artz1b00rtz1,1,218,0.3966,270,2.7737,-3.4471,-0.2806,0.0,0.0,0
PiraeusStef,1,218,0.3965,271,3.1083,-2.5345,1.8005,46.25,1.0,0
chrisvwgolf,1,218,0.3964,272,3.2319,-3.1106,-0.8141,46.25,1.0,0
Nikos2501,1,218,0.3958,273,2.2528,-1.9981,0.0477,42.08,1.0,0
papa_vaso,1,218,0.3954,274,2.9574,-2.6263,1.3868,46.25,1.0,0
desevmoi,1,218,0.3954,275,2.9082,-3.225,-0.5759,45.0,1.0,0
kefalaiouxos,1,218,0.3952,276,2.8827,-3.6414,-0.4179,0.0,0.0,0
EoLaerte,1,218,0.3948,277,1.9813,-1.6896,0.1242,42.08,1.0,0
kostasp194,1,218,0.3936,278,2.4937,-2.6368,1.8332,27.5,0.5,0
PhunkD14,1,218,0.3936,279,2.8535,-3.6597,-0.5036,0.0,0.0,0
paoktses,1,218,0.3932,280,2.8032,-3.5764,-0.0836,0.0,0.0,0
DejaLogic,1,218,0.3928,281,2.215,-2.0683,1.299,42.5,1.0,0
PanosStayis,1,218,0.3924,282,1.9929,-2.7808,-0.1198,28.75,0.5,0
mystical_hell,1,218,0.3921,283,2.9011,-3.1037,-0.7251,46.25,1.0,0
AleaJactaEst101,1,218,0.3908,284,2.6974,-2.3686,1.8861,46.25,1.0,0
VanaT66,1,218,0.3898,285,2.096,-2.4791,1.186,28.75,0.5,0
BaboonTje,1,218,0.3896,286,2.846,-3.6222,-0.3338,0.0,0.0,0
Wonderlust_K,1,218,0.389,287,2.4813,-2.6001,0.8744,46.25,1.0,0
giorgosgreen,1,218,0.3888,288,1.3221,-2.0945,0.42,30.83,0.6667,0
akrokentrwos_2,1,218,0.3884,289,2.9021,-2.4772,2.0512,46.25,1.0,0
vagelis_ts,1,218,0.3882,290,2.9415,-3.0855,-0.5776,46.25,1.0,0
M_Efstathiou,1,218,0.3878,291,2.5573,-2.7293,0.5547,45.0,1.0,0
epaggelmatiassk,1,218,0.3876,292,2.8327,-2.5946,2.0633,45.0,1.0,0
TDrodopoulou,1,218,0.3876,293,2.6751,-3.1112,-0.1884,45.0,1.0,0
lordos_noble,1,218,0.3858,294,2.1647,-2.6128,1.248,28.75,0.5,0
correll_caus,1,218,0.3855,295,2.5508,-2.9655,-0.1668,46.25,1.0,0
AnnaDiEpifanio1,1,218,0.385,296,1.8541,-2.3,0.6494,41.25,1.0,0
antonis_zen,1,218,0.3846,297,1.8404,-2.3023,0.639,41.25,1.0,0
OratiosPoulos,1,218,0.3837,298,2.6798,-2.6856,1.6586,45.0,1.0,0
Ralia1Raily,1,218,0.3829,299,1.9862,-1.9305,0.4007,42.08,1.0,0
pnevan11,1,218,0.3819,300,2.0464,-2.7503,0.8205,28.75,0.5,0
loudovikos14os,1,218,0.3807,301,2.543,-2.8927,0.8202,45.0,1.0,0
Lucy75218876,1,218,0.3795,302,2.6101,-2.5515,1.6621,46.25,1.0,0
TetraLogiki,1,218,0.3791,303,2.6254,-2.6976,1.6706,45.0,1.0,0
despica67766915,1,218,0.3788,304,1.9608,-2.7223,0.8674,28.75,0.5,0
AsimakosGiannis,1,218,0.378,305,2.4211,-2.8867,0.2451,46.25,1.0,0
JanSobiesk1683V,1,218,0.375,306,2.4735,-2.6296,1.3151,46.25,1.0,0
Kostas18748292,1,218,0.3745,307,2.3644,-2.7307,0.9101,46.25,1.0,0
