amplified_author_handle,in_member_list,total_inbound_retweets,unique_amplifier_count,unique_amplified_posts,top_amplifier_handle,top_amplifier_count,top_amplifier_share,amplification_hhi,repeat_crew_overlap,median_first_retweet_lag_sec,fastest_amplifier_handle,cross_component_reach,within_15m_inbound,within_60m_inbound,top_first_retweeter_handle,top_first_retweeter_count,captured_role_mix,amplification_score
SerraiaSofia,False,2,1,2,angelikitsakani,2,1.0,1.0,1.0,1856,angelikitsakani,1,2,2,angelikitsakani,2,amplifier_suspect:1.00,53.1833
SofiaPaschalid,False,2,1,2,GiotaPapapetrou,2,1.0,1.0,1.0,2399,GiotaPapapetrou,1,2,2,GiotaPapapetrou,2,retail_user:1.00,53.1833
Stainlessid,False,2,1,2,RockRock222555,2,1.0,1.0,1.0,35961,RockRock222555,1,2,2,RockRock222555,2,mixed_behavior:1.00,53.1833
Vasia53639806,False,2,1,2,GiotaPapapetrou,2,1.0,1.0,1.0,8158,GiotaPapapetrou,1,2,2,GiotaPapapetrou,2,retail_user:1.00,53.1833
YasouStasou,False,2,1,2,vythos70,2,1.0,1.0,1.0,1711,vythos70,1,2,2,vythos70,2,mixed_behavior:1.00,53.1833
Yiatzi,False,2,1,2,aggelikiME25,2,1.0,1.0,1.0,1769,aggelikiME25,1,2,2,aggelikiME25,2,mixed_behavior:1.00,53.1833
acpanathinaikos,False,2,1,2,Loxagos_Mark,2,1.0,1.0,1.0,13474,Loxagos_Mark,1,2,2,Loxagos_Mark,2,media_business:1.00,53.1833
aigiotissa,False,2,1,2,GiotaPapapetrou,2,1.0,1.0,1.0,23819,GiotaPapapetrou,1,2,2,GiotaPapapetrou,2,retail_user:1.00,53.1833
ehouzouri,False,2,1,2,Briassulis,2,1.0,1.0,1.0,313,Briassulis,1,2,2,Briassulis,2,mixed_behavior:1.00,53.1833
faiaki576,False,2,1,2,MasenkaMm230158,2,1.0,1.0,1.0,31662,MasenkaMm230158,1,2,2,MasenkaMm230158,2,amplifier_suspect:1.00,53.1833
galex1908,True,2,1,2,GiotaPapapetrou,2,1.0,1.0,1.0,6817,GiotaPapapetrou,1,2,2,GiotaPapapetrou,2,retail_user:1.00,53.1833
gecffmn,False,2,1,2,johnblandos,2,1.0,1.0,1.0,90623,johnblandos,1,2,2,johnblandos,2,mixed_behavior:1.00,53.1833
giakarvo,False,2,1,2,sinakatsarou,2,1.0,1.0,1.0,29023,sinakatsarou,1,2,2,sinakatsarou,2,mixed_behavior:1.00,53.1833
greekcitytimes,False,2,1,2,Catps66,2,1.0,1.0,1.0,44849,Catps66,1,2,2,Catps66,2,amplifier_suspect:1.00,53.1833
itidorfa07,False,2,1,2,G4Heron,2,1.0,1.0,1.0,30192,G4Heron,1,2,2,G4Heron,2,media_business:1.00,53.1833
komninos_lakis,False,2,1,2,Track11John,2,1.0,1.0,1.0,28981,Track11John,1,2,2,Track11John,2,mixed_behavior:1.00,53.1833
skordo_official,False,2,1,2,aggelikiME25,2,1.0,1.0,1.0,17946,aggelikiME25,1,2,2,aggelikiME25,2,mixed_behavior:1.00,53.1833
socaipmylo,False,2,1,2,aggelikiME25,2,1.0,1.0,1.0,536,aggelikiME25,1,2,2,aggelikiME25,2,mixed_behavior:1.00,53.1833
stamasid,False,2,1,2,GiotaPapapetrou,2,1.0,1.0,1.0,260,GiotaPapapetrou,1,2,2,GiotaPapapetrou,2,retail_user:1.00,53.1833
trescommeilfaut,True,2,1,2,G4Heron,2,1.0,1.0,1.0,3436,G4Heron,1,2,2,G4Heron,2,media_business:1.00,53.1833
vasilis17877373,False,2,1,2,BatorGr,2,1.0,1.0,1.0,10321,BatorGr,1,2,2,BatorGr,2,amplifier_suspect:1.00,53.1833
Technomagos,False,63,23,12,klikr,10,0.1587,0.0869,0.3364,1480,aprosarmostos_,1,15,38,Ah_riman,5,mixed_behavior:0.60; media_business:0.17; amplifier_suspect:0.16; retail_user:0.03,53.045
omadaalithias,True,75,37,15,hatz_patty,7,0.0933,0.0446,0.1589,24305,Myrtilo01,1,23,40,hatz_patty,4,mixed_behavior:0.45; amplifier_suspect:0.27; media_business:0.17; retail_user:0.07,51.516
Mirsini1946041,False,75,35,19,nickthegreek5,11,0.1467,0.0546,0.1482,19664,nickthegreek5,1,22,35,Agie2a,3,mixed_behavior:0.40; amplifier_suspect:0.39; media_business:0.17; unknown:0.03,51.3744
augoustina1957,False,5,2,4,GiotaPapapetrou,4,0.8,0.68,0.75,4614,GiotaPapapetrou,1,5,5,GiotaPapapetrou,3,retail_user:0.80; amplifier_suspect:0.20,51.0011
AdonisGeorgiadi,False,65,32,17,hatz_patty,6,0.0923,0.0476,0.1785,14629,K_Sav215,1,22,34,K_Sav215,2,mixed_behavior:0.54; amplifier_suspect:0.31; media_business:0.12; unknown:0.02,50.6619
CatRescueAthens,False,7,3,5,MariaDecokeke,5,0.7143,0.551,0.7333,5001,MariaDecokeke,1,5,5,MariaDecokeke,5,media_business:0.71; amplifier_suspect:0.29,50.5781
