retweeter,source_author,count
giannMak,2etonne2p,3
giannMak,jazz_daz,3
greek_paris_13,manolisgiz,3
greek_paris_13,prokaliptika1,3
hatz_patty,VICKYK86529099,3
hatz_patty,mmoutafides,3
johnblandos,omadaalithias,3
jparthen,tzavelaniki,3
klikr,SkyNews,3
madonnamaniac,MadonnaRecords,3
maus_miny,ellada24,3
mpantazo,MirandaPrada_,3
nickthegreek5,Akiratos_,3
nickthegreek5,DejaLogic,3
nickthegreek5,EliAfriatISR,3
nickthegreek5,HomerPavlos,3
nickthegreek5,MirandaPrada_,3
nickthegreek5,Nothing04305955,3
nickthegreek5,bpapapanagiotou,3
nickthegreek5,nikglykos,3
nickthegreek5,taurothanos,3
nickthegreek5,tomanifesto,3
nickthegreek5,unico11226,3
paliakaravana59,Cd_Julian_,3
paliakaravana59,PsyGuy007,3
ptableart,MsLouellaDeVil,3
sinakatsarou,jazz_daz,3
vythos70,AnAthenianToLDN,3
vythos70,NAravantinos,3
vythos70,TARS955736,3
46spiros,AdonisGeorgiadi,2
46spiros,Aristerotsolis,2
46spiros,C_Papachaviaris,2
46spiros,GeorghyZhukov,2
46spiros,HFirstpriest,2
46spiros,I_Skaltsiotis,2
46spiros,John_Fletcher70,2
46spiros,Johnnyhoston_2,2
46spiros,K_Sav215,2
46spiros,MirandaPrada_,2
46spiros,NIKSOTIROPOYLOS,2
46spiros,NodarasSpiros,2
46spiros,RadioGenoa,2
46spiros,bpapapanagiotou,2
46spiros,dimitris7987,2
46spiros,elonmusk,2
46spiros,visegrad24,2
57lista,BenakisM,2
57lista,panta_tif,2
ABCHeckles,BenakisM,2
ABCHeckles,Curious_Ches,2
ABCHeckles,MariaDecokeke,2
ABCHeckles,nikglykos,2
Aaagiiisss,Alyunan00,2
Aaagiiisss,HomerPavlos,2
AgelisDimitris,ArisBJJ,2
AgelisDimitris,GeorghyZhukov,2
AgelisDimitris,Heraclis_82,2
AgelisDimitris,IoannaDementi,2
AgelisDimitris,Johnnyhoston_2,2
AgelisDimitris,NicDam4,2
AgelisDimitris,Voice75848495,2
AgelisDimitris,dkDurcGYTIpZdKl,2
AgelisDimitris,gio_Kk23,2
AgelisDimitris,gospodinmedvedd,2
AgelisDimitris,gverikks,2
AgelisDimitris,jazz_daz,2
Agie2a,Nothing04305955,2
Ah_riman,Mirsini1946041,2
Ah_riman,elenasagiadinou,2
Anastasia7882,AdonisGeorgiadi,2
Anthology2026,RadioGenoa,2
Anthology2026,__darcelX__,2
Anthology2026,elonmusk,2
Anthology2026,realMaalouf,2
ArgirNik,elenasagiadinou,2
ArgirNik,tomanifesto,2
ArisBJJ,Akiratos_,2
ArisBJJ,BenakisM,2
AthanasiouCccp,IoannaDementi,2
AthanasiouCccp,RockRock222555,2
BananaJoeReload,EvgeniosTzav,2
BananaJoeReload,PGPavlos,2
BatorGr,ellada24,2
BatorGr,vasilis17877373,2
Briassulis,AnAthenianToLDN,2
Briassulis,DoraZip,2
Briassulis,HFirstpriest,2
Briassulis,Heraclis_82,2
Briassulis,Mirsini1946041,2
Briassulis,Monika29698435,2
Briassulis,action24tv,2
Briassulis,ehouzouri,2
Briassulis,elenasagiadinou,2
Briassulis,hellaspecial,2
Briassulis,iefimerida,2
Briassulis,nikolaosderes,2
Catps66,LKleitou,2
Catps66,Mirsini1946041,2
Catps66,Monika29698435,2
Catps66,gio_Kk23,2
Catps66,greekcitytimes,2
Catps66,omadaalithias,2
DonConsclavios,Dumlada1926,2
DonConsclavios,ellada24,2
DonConsclavios,tomanifesto,2
