account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,cohort_count,cohort_max_size,cohort_max_cascade_count,role_retail_user,role_amplifier_suspect,role_media_business,role_journalist_public_figure,role_source_hub,first_retweeter_ratio,propagation_lead_count,coordination_score,analyst_label
xeniakan21,24,24,0,2,1.0,5,24,21,8,0.3333,2,0.0833,7,5,2669,2325,148991,5064,0,0,0,113,16,62,1,5,10,0,0,0,0,1,0,0,0,0.0019,5,62.08,
johnblandos,60,54,6,2,0.9,34,54,41,18,0.3333,3,0.0556,10,15,1949,2953,156572,4532,1,0,0,113,30,104,9,42,14,1,54,177,0,0,0,0,0,0.0126,34,62.06,
chkls,8,8,0,4,1.0,6,8,7,1,0.125,2,0.25,2,0,1579,756,78096,5500,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0022,6,61.88,
GiotaPapapetrou,193,190,3,5,0.9845,179,190,99,17,0.0895,20,0.1053,26,23,4689,3426,457713,1917,1,0,0,113,20,73,11,36,8,1,54,177,1,0,0,0,0,0.0663,179,61.85,
JimyWis,6,6,0,0,1.0,4,6,6,2,0.3333,1,0.1667,0,2,656,1732,16188,1836,1,0,0,113,3,7,1,3,3,0,0,0,0,1,0,0,0,0.0015,4,61.67,
G4Heron,44,42,2,9,0.9545,40,42,36,7,0.1667,3,0.0714,3,4,10219,6914,294427,4054,0,0,0,2,1,2,0,1,2,0,0,0,0,0,1,0,0,0.0148,40,61.62,
fanis_rc,7,7,0,0,1.0,5,7,6,1,0.1429,2,0.2857,2,3,2013,7155,284868,1148,1,0,0,113,3,6,2,3,2,0,0,0,0,1,0,0,0,0.0019,5,61.25,
2Harvard2,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,573,1149,11020,5958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,61.25,
AndriotGreg,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,1270,1279,9362,2989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,61.25,
ChrisDarko39,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,1,0,3758,3934,15502,5454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,61.25,
pOURc3ero9j906K,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,3071,2302,5028,1709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,61.25,
tavros5791,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,1,0,2593,1161,81830,5883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,61.25,
MKioulafa,56,47,9,20,0.8393,34,47,29,16,0.3404,7,0.1489,21,22,3281,4971,189454,2454,1,0,0,113,20,76,17,51,9,1,54,177,0,0,0,0,0,0.0126,34,60.97,
CharilaosPapad1,5,5,0,2,1.0,2,5,5,2,0.4,1,0.2,0,0,358,385,12708,1593,1,0,0,113,2,4,1,3,2,0,0,0,0,0,0,0,0,0.0007,2,60.5,
AgelisDimitris,182,160,22,54,0.8791,77,160,82,43,0.2687,9,0.0563,33,40,2170,2275,188950,2184,1,0,0,113,60,371,29,146,44,1,54,177,0,0,0,0,0,0.0285,77,60.36,
matrixneo1979,5,5,0,0,1.0,5,5,4,0,0.0,2,0.4,0,0,3282,1648,28983,3008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0019,5,60.25,
tasoskar11,5,5,0,1,1.0,0,5,4,2,0.4,2,0.4,5,5,221,313,2642,5560,0,0,0,113,7,17,1,8,4,0,0,0,0,0,0,0,0,0.0,0,60.0,
NikosMichael6,2,2,0,0,1.0,0,2,1,2,1.0,2,1.0,0,0,28909,4067,50618,1829,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,60.0,
Anna_Moun,1,1,0,1,1.0,0,1,1,1,1.0,1,1.0,0,0,1436,1366,22315,3164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60.0,
Evitel_,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,2495,1278,49558,5531,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60.0,
Perdim1,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,705,870,14535,5058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60.0,
kimosampe,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,1032,1452,19780,5179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60.0,
moonshinegr,1,1,0,1,1.0,0,1,1,1,1.0,1,1.0,0,0,544,399,24528,3999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60.0,
Anastasia7882,10,10,0,1,1.0,5,10,9,1,0.1,2,0.2,4,1,854,868,48708,1295,1,0,0,113,7,17,1,2,4,0,0,0,0,1,0,0,0,0.0019,5,59.75,
aggelikiME25,107,102,5,6,0.9533,99,102,79,3,0.0294,6,0.0588,70,11,5541,1941,303860,3654,1,0,0,113,1,2,1,2,2,0,0,0,0,0,0,0,0,0.0367,99,59.39,
HouseElisabeth_,6,6,0,0,1.0,6,6,6,0,0.0,1,0.1667,3,0,488,1043,6160,3413,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0022,6,59.17,
ScroogeKifissia,40,36,4,10,0.9,36,36,26,2,0.0556,6,0.1667,2,4,22592,21857,55049,1674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0133,36,59.0,
klikr,37,32,5,6,0.8649,20,32,20,1,0.0312,10,0.3125,4,11,1098,1191,44673,5403,0,0,0,113,15,56,13,35,7,1,54,177,0,0,0,0,0,0.0074,20,58.86,
NonameTZ,13,13,0,4,1.0,2,13,12,4,0.3077,2,0.1538,10,11,482,592,19882,5446,0,0,0,113,15,48,2,26,8,1,54,177,0,1,0,0,0,0.0007,2,58.65,
Leniw_Lenia,6,6,0,0,1.0,4,6,5,0,0.0,2,0.3333,2,2,542,528,17385,1552,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0015,4,58.33,
margko73,5,5,0,0,1.0,5,5,5,0,0.0,1,0.2,0,0,6165,1829,56272,4950,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0019,5,58.25,
kokkoriss,8,8,0,0,1.0,3,8,7,1,0.125,2,0.25,2,3,602,2757,33218,5100,1,0,0,113,7,16,2,7,3,0,0,0,0,1,0,0,0,0.0011,3,58.12,
