account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
MKioulafa,True,8,7,1,3,0.875,4,7,5,3,0.4286,1mp0st3rtuta,2,0.2857,0,5,3280,4968,189210,2019-07-28T17:35:51+03:00,True,False,False,und,44.91
michael_exc,True,4,4,0,0,1.0,4,4,4,0,0.0,IRGCarabic,1,0.25,0,1,729,2077,11239,2013-10-27T13:08:54+02:00,False,False,False,und,42.5
EthanAnargyrous,True,2,2,0,0,1.0,2,2,2,0,0.0,YpenGr,1,0.5,0,0,1169,962,40139,2018-07-13T18:09:01+03:00,True,False,False,el,42.5
aekzurich21,True,2,2,0,0,1.0,2,2,2,0,0.0,aekbcgr,1,0.5,2,0,263,846,16614,2023-06-24T12:33:54+03:00,True,False,False,en,42.5
themagus2022,True,2,2,0,0,1.0,2,2,2,0,0.0,TheLaurenChen,1,0.5,0,0,242,482,17024,2022-08-23T18:10:12+03:00,True,True,False,,42.5
HouseElisabeth_,True,3,3,0,0,1.0,3,3,3,0,0.0,PAOKland4,1,0.3333,2,0,488,1041,6145,2016-12-11T22:15:34+02:00,False,False,False,,42.08
margko73,True,3,3,0,0,1.0,3,3,3,0,0.0,Satanna33,1,0.3333,0,0,6166,1829,56266,2012-09-26T14:51:46+03:00,False,False,False,el,42.08
MariaKagia4603,True,4,4,0,1,1.0,3,4,4,0,0.0,ChristinaA43891,1,0.25,1,0,120,339,3141,2025-01-09T18:11:36+02:00,True,False,False,,41.25
chkls,True,2,2,0,1,1.0,1,2,2,0,0.0,giannis_kalyvas,1,0.5,0,0,1579,756,78080,2011-03-26T22:01:55+02:00,True,False,False,el,41.25
K_Sav215,True,15,12,3,1,0.8,9,12,9,0,0.0,action24tv,2,0.1667,25,15,1149,1129,77849,2021-08-07T14:50:32+03:00,True,True,False,en,40.92
