account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,default_profile,default_profile_image,is_blue_verified,coordination_score,analyst_label
Anthology2026,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,300,2396,244,1,0,0,28.75,
PanosStayis,2,1,1,1,0.5,1,1,1,0,0.0,1,1.0,0,0,347,347,6833,1,0,0,28.75,
pnevan11,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,619,1459,7987,1,0,0,28.75,
foivos_trikkis_,5,3,2,4,0.6,3,3,3,0,0.0,1,0.3333,3,0,1519,807,38658,1,0,0,28.08,
Greekprn,6,1,5,0,0.1667,1,1,1,0,0.0,1,1.0,5,0,6049,3860,157872,0,0,0,17.08,
MoudilosV,4,0,4,2,0.0,0,0,0,0,0.0,0,0.0,4,0,1877,1736,24621,0,0,1,0.0,
Veltsi_Legacy,4,0,4,3,0.0,0,0,0,0,0.0,0,0.0,0,0,1223,574,12772,1,0,1,0.0,
n_palaiopanou,3,0,3,1,0.0,0,0,0,0,0.0,0,0.0,0,3,,,,,,,0.0,
Abovelaw13,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,3,0,1065,582,10995,1,0,1,0.0,
Apstolos14616,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,142,168,2079,1,1,1,0.0,
EAdamopoulou,1,0,1,1,0.0,0,0,0,0,0.0,0,0.0,0,1,8667,1792,75832,0,0,1,0.0,
GP_74_,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,1327,1023,18356,1,0,0,0.0,
HFirstpriest,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,,,,,,,0.0,
MatrimC110073,1,0,1,1,0.0,0,0,0,0,0.0,0,0.0,0,0,961,1450,17959,1,0,1,0.0,
PhunkD14,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,240,1010,8736,1,0,0,0.0,
Sunflower19731,1,0,1,1,0.0,0,0,0,0,0.0,0,0.0,0,0,203,234,2355,1,0,0,0.0,
Tiramolas_,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,1,1,88,100,979,1,0,0,0.0,
christoskostaki,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,,,,,,,0.0,
giorgosgreen,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,1121,557,10256,1,0,0,0.0,
isidoragiou1,1,0,1,1,0.0,0,0,0,0,0.0,0,0.0,0,0,599,291,15256,0,0,0,0.0,
kikirik_nik,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,3756,110,16460,0,0,0,0.0,
maus_miny,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,4430,2093,64873,1,0,0,0.0,
myga_tse,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,,,,,,,0.0,
omadaalithias,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,110821,581,15850,0,0,1,0.0,
panagitsma78169,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,1,0,75,97,5535,1,0,0,0.0,
