retweeter,source_author,count
CharilaosPapad1,silaserafim,1
DonConsclavios,AC_PAOK,1
DonConsclavios,ATHANASIOSLAMP3,1
DonConsclavios,ArisPortosalte,1
DonConsclavios,Dumlada1926,1
DonConsclavios,PAOKbasketball,1
DonConsclavios,ellada24,1
DonConsclavios,giannopoulos35,1
DonConsclavios,mvlazaridis,1
DonConsclavios,n_palaiopanou,1
DonConsclavios,sport24,1
EthanAnargyrous,BenakisM,1
EthanAnargyrous,YpenGr,1
Evitel_,failosK,1
Fotinh5,DvsDvs60195368,1
Fotinh5,iefimerida,1
G4Heron,FanakidiF,1
G4Heron,NikolaosSampat1,1
G4Heron,arisoikon,1
G4Heron,giorgoschris2,1
G4Heron,greek_paris_13,1
G4Heron,o_rein,1
G4Heron,tadeefi2603,1
G4Heron,to_vatraxi,1
GiotaPapapetrou,G_konstn,1
GiotaPapapetrou,failosK,1
GiotaPapapetrou,pavlospapadim,1
Greekprn,nypost,1
HouseElisabeth_,GiorgosPap_96,1
HouseElisabeth_,PAOKland4,1
HouseElisabeth_,Thorvin1976,1
IK25818385,FoniLogikis_A_L,1
IK25818385,ScroogeKifissia,1
JSweetGR,GeorghyZhukov,1
JSweetGR,HellenicOlympic,1
JSweetGR,Notorio_rbg,1
JSweetGR,Parkernomics,1
JSweetGR,mariavellou,1
K_Sav215,Loukas_7,1
K_Sav215,OknewsGr,1
K_Sav215,Periklakkos,1
K_Sav215,Pierrakakis,1
K_Sav215,Thriassiogr,1
K_Sav215,pavlmarin,1
KosmidisStathis,Johnnyhoston_2,1
KyrPantelis3,CharaKara,1
KyrPantelis3,InterestingFck,1
LGkvas,DejaLogic,1
LGkvas,DvsDvs60195368,1
LGkvas,GGoudaras,1
LGkvas,MsLouellaDeVil,1
LGkvas,bpapapanagiotou,1
LGkvas,sohfangwei,1
LGkvas,steiger_st28082,1
MKioulafa,JGrant5291453,1
MKioulafa,omadaalithias,1
MKioulafa,pavlmarin,1
MariaKagia4603,ChristinaA43891,1
MariaKagia4603,GGoudaras,1
MariaKagia4603,Miss_Marple_r,1
MariaKagia4603,penny_rage,1
MariaKoki3,1693Cross,1
MariaKoki3,HellenicOlympic,1
MasenkaMm230158,1693Cross,1
MasenkaMm230158,ArisPortosalte,1
MasenkaMm230158,DejaLogic,1
MasenkaMm230158,DimSterg1957,1
MasenkaMm230158,DvsDvs60195368,1
MasenkaMm230158,Elefthe49269299,1
MasenkaMm230158,MariaKoki3,1
MasenkaMm230158,Mirsini1946041,1
MasenkaMm230158,arkas1971,1
MasenkaMm230158,elinampounia,1
MasenkaMm230158,ellada24,1
MasenkaMm230158,faiaki576,1
MasenkaMm230158,georgemilon,1
MasenkaMm230158,panta_tif,1
MasenkaMm230158,penny_rage,1
MasenkaMm230158,queenshelleyh,1
MasenkaMm230158,taratsampoum,1
MasenkaMm230158,zneraida,1
MenoEdo,0nDC6SV3nSndeQr,1
MenoEdo,4fABkkc5xTv2aek,1
MenoEdo,AITWLOS,1
MenoEdo,AmanYavroum,1
MenoEdo,AndriopoulosD,1
MenoEdo,AppelaiosII,1
MenoEdo,Aristerotsolis,1
MenoEdo,GeorghyZhukov,1
MenoEdo,MariaDecokeke,1
MenoEdo,Natalia_yael4,1
MenoEdo,Simonaki_,1
MenoEdo,dimitris7987,1
MenoEdo,haaha_bou,1
MenoEdo,kostasp194,1
MenoEdo,mariakalantze,1
MenoEdo,oikonomikon,1
MenoEdo,omadaalithias,1
MenoEdo,verazeras,1
Mrpresidentgr,Avk50117339,1
Mrpresidentgr,Nob0dymyname,1
Mrpresidentgr,ictinus_x,1
NodarasSpiros,omadaalithias,1
Nogate_T,LeonardTroland,1
OratiosPoulos,panta_tif,1
PanosStayis,ByJimbob,1
PiraeusStef,mariavellou,1
QuercusLg,giorgoschris2,1
RXRqdEgogik2Z9P,ntalaoura,1
Realism_47,GeorghyZhukov,1
RockRock222555,AdonisGeorgiadi,1
RockRock222555,Akiratos_,1
RockRock222555,GeorghyZhukov,1
RockRock222555,HFirstpriest,1
RockRock222555,Harhalas,1
RockRock222555,MLingou,1
RockRock222555,Mirsini1946041,1
RockRock222555,Ouinston,1
RockRock222555,SMpliat,1
RockRock222555,ThanosTzimeros,1
RockRock222555,arkas1971,1
RockRock222555,carico1970,1
RockRock222555,dtri2020,1
RockRock222555,estetikos5,1
RockRock222555,failosK,1
RockRock222555,ioannisekolovos,1
RockRock222555,panagiotis501,1
RockRock222555,penny_rage,1
RockRock222555,sohfangwei,1
RockRock222555,xanathja,1
SagamoreMount,michaeldweiss,1
ThanosKten,omadaalithias,1
Tina5996,nikglykos,1
Track11John,4fABkkc5xTv2aek,1
Track11John,AgelisDimitris,1
Track11John,ArisPortosalte,1
Track11John,Augusta1C,1
Track11John,DesiBell2,1
Track11John,Dora_Bakoyannis,1
Track11John,EliAfriatISR,1
Track11John,FLapsani,1
Track11John,HRessed,1
Track11John,Harhalas,1
Track11John,HarrisSamaras,1
Track11John,Heraclis_82,1
Track11John,Iliasrep,1
Track11John,IppolitoCaffi,1
Track11John,KosmidisStathis,1
Track11John,Kyvernitiparat1,1
Track11John,LMEuropeNews,1
Track11John,MARIAZAHARAKI,1
Track11John,MirandaPrada_,1
Track11John,OratiosPoulos,1
Track11John,Ouinston,1
Track11John,P159646899P,1
Track11John,Pierrakakis,1
Track11John,Rena_Rethymno,1
Track11John,So_Fren,1
Track11John,TheodoreLiolios,1
Track11John,TigayBarry,1
Track11John,VividProwess,1
Track11John,__darcelX__,1
Track11John,a_loverdos,1
Track11John,action24tv,1
Track11John,angie22gr,1
Track11John,apablaze,1
Track11John,billxronopoulos,1
Track11John,bpapapanagiotou,1
Track11John,fredisbeleris,1
Track11John,gvrettakos,1
Track11John,htheoharis,1
Track11John,kostasp194,1
Track11John,mamba_aka,1
Track11John,mariakalantze,1
Track11John,pavlmarin,1
Track11John,petrosoutsis,1
Track11John,prokaliptika1,1
Track11John,sinakatsarou,1
Track11John,skaigr,1
Track11John,theodorekollias,1
TsigkaEfi,Johnnyhoston_2,1
Xeniaxe19580370,2etonne2p,1
Xeniaxe19580370,HenryJP55,1
Xeniaxe19580370,HungaryBased,1
Xeniaxe19580370,JeanMessiha,1
Xeniaxe19580370,MAGANEWS_X,1
Xeniaxe19580370,MatrixMysteries,1
Xeniaxe19580370,Niw451,1
Xeniaxe19580370,RRomani1973,1
Xeniaxe19580370,isaacrrr7,1
Xeniaxe19580370,liz_churchill10,1
Xeniaxe19580370,oikonomikon,1
Xeniaxe19580370,panagiotis501,1
Xeniaxe19580370,realMaalouf,1
ZbejVty,SMpliat,1
ZbejVty,ZbejVty,1
ZbejVty,vythos70,1
aekzurich21,aekbcgr,1
aekzurich21,stathisdrogosis,1
aggelikiME25,1101101_10,1
aggelikiME25,Alexjk1975,1
aggelikiME25,BasketNews_com,1
aggelikiME25,GiotaPapapetrou,1
aggelikiME25,Latreia13,1
aggelikiME25,NIGEL_HAYES,1
aggelikiME25,OTemPoRaOmOreS7,1
aggelikiME25,O_fatseas_sas,1
aggelikiME25,TKontaxiou,1
aggelikiME25,TheMaltus,1
aggelikiME25,antarasfg,1
aggelikiME25,loveepls,1
aggelikiME25,mm_professork,1
akrokentrwos_2,Haberler,1
amantomatimou,BBCNews,1
amantomatimou,BoyanSlat,1
amantomatimou,FootyHumour,1
angelikitsakani,AgelisDimitris,1
angelikitsakani,AndriopoulosD,1
angelikitsakani,John_Fletcher70,1
angelikitsakani,action24tv,1
angelikitsakani,verazeras,1
angelikitsakani,zneraida,1
chkls,arisoikon,1
chkls,giannis_kalyvas,1
chrysib11,2etonne2p,1
chrysib11,AdonisGeorgiadi,1
chrysib11,DvsDvs60195368,1
chrysib11,EFischberger,1
chrysib11,EricLDaugh,1
chrysib11,GGoudaras,1
chrysib11,MOSSADil,1
chrysib11,ellada24,1
