account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
Aaagiiisss,angelikitsakani,2,0.0267,0,0
Aaagiiisss,giannMak,2,0.0202,0,1
Aaagiiisss,teo_ntaleki,2,0.069,0,2
AgelisDimitris,ArisBJJ,2,0.025,0,0
AgelisDimitris,K_Sav215,2,0.0185,0,0
AgelisDimitris,Loxagos_Mark,2,0.0213,0,0
AgelisDimitris,NodarasSpiros,2,0.0274,0,0
AgelisDimitris,NonameTZ,2,0.0263,0,2
AgelisDimitris,PitSpencer,2,0.0225,0,0
Agie2a,chrysib11,2,0.0408,0,1
Agie2a,nickthegreek5,2,0.0127,0,0
Agie2a,nilsholgerson_,2,0.125,0,2
Agie2a,teo_ntaleki,2,0.1053,0,1
Anthology2026,giannMak,2,0.0225,0,0
Briassulis,K_Sav215,2,0.027,0,2
Briassulis,Loxagos_Mark,2,0.0333,0,0
Briassulis,galex1908,2,0.0392,0,1
Catps66,K_Sav215,2,0.0364,0,1
Catps66,giannMak,2,0.0215,0,0
Catps66,nickthegreek5,2,0.0123,0,0
CharilaosPapad1,nickthegreek5,2,0.0135,0,2
DonConsclavios,Loxagos_Mark,2,0.0556,0,0
DonConsclavios,MasenkaMm230158,2,0.04,0,2
EthanAnargyrous,nickthegreek5,2,0.0137,0,1
Fay82776914F,TsigkaEfi,2,0.1429,0,1
Fay82776914F,nickthegreek5,2,0.0133,0,1
Fotinh5,K_Sav215,2,0.0476,0,2
Fotinh5,nickthegreek5,2,0.0134,0,0
Fotinh5,sinakatsarou,2,0.05,0,1
GiotaPapapetrou,giannMak,2,0.0113,0,0
GiotaPapapetrou,hatz_patty,2,0.0131,0,1
GiotaPapapetrou,johnblandos,2,0.0147,0,0
InafiZinaf1,giannMak,2,0.0263,0,0
InafiZinaf1,hatz_patty,2,0.0385,0,0
InafiZinaf1,nickthegreek5,2,0.0138,0,0
JSweetGR,MariaKoki3,2,0.2857,0,0
JSweetGR,MasenkaMm230158,2,0.0488,0,2
JSweetGR,nickthegreek5,2,0.0135,0,1
JtfYiannis,MasenkaMm230158,2,0.0526,0,0
JtfYiannis,nickthegreek5,2,0.0138,0,1
K_Sav215,Loxagos_Mark,2,0.0333,0,1
K_Sav215,MenoEdo,2,0.0299,0,0
K_Sav215,johnblandos,2,0.0282,0,1
K_Sav215,klikr,2,0.0385,0,1
K_Sav215,mpantazo,2,0.0417,0,0
K_Sav215,vythos70,2,0.0233,0,2
KosmidisStathis,MasenkaMm230158,2,0.05,0,1
LGkvas,giannMak,2,0.0233,0,2
Loxagos_Mark,MenoEdo,2,0.0377,0,1
Loxagos_Mark,angelikitsakani,2,0.027,0,2
Loxagos_Mark,chrysib11,2,0.0345,0,0
Loxagos_Mark,greek_paris_13,2,0.0526,0,1
Loxagos_Mark,johnblandos,2,0.0351,0,0
MKioulafa,galex1908,2,0.087,0,0
MKioulafa,hatz_patty,2,0.0333,0,1
MariaKoki3,MasenkaMm230158,2,0.05,0,1
MasenkaMm230158,MenoEdo,2,0.0299,0,0
MasenkaMm230158,TheMadoula,2,0.04,0,0
MasenkaMm230158,Track11John,2,0.0078,0,2
MasenkaMm230158,Volcom40893832,2,0.0513,0,0
MasenkaMm230158,giannMak,2,0.0179,0,0
MenoEdo,RockRock222555,2,0.025,0,0
MenoEdo,chrysib11,2,0.0308,0,0
MenoEdo,klikr,2,0.0444,0,0
MenoEdo,mpantazo,2,0.0488,0,0
MenoEdo,paliakaravana59,2,0.0202,0,1
NodarasSpiros,hatz_patty,2,0.0377,0,1
NonameTZ,RockRock222555,2,0.0364,0,2
NonameTZ,angelikitsakani,2,0.0357,0,2
PitSpencer,RockRock222555,2,0.0294,0,2
PitSpencer,klikr,2,0.0606,0,0
RockRock222555,TsigkaEfi,2,0.0345,0,0
RockRock222555,paliakaravana59,2,0.0168,0,1
SagamoreMount,Track11John,2,0.009,0,1
TheMadoula,hatz_patty,2,0.0312,0,1
Track11John,Volcom40893832,2,0.0091,0,0
Track11John,dimitris7987,2,0.0091,0,0
Track11John,klikr,2,0.0086,0,1
Track11John,paliakaravana59,2,0.007,0,2
Track11John,steiger_st28082,2,0.009,0,1
Track11John,tasoskar11,2,0.0091,0,2
Volcom40893832,hatz_patty,2,0.0377,0,1
Volcom40893832,nickthegreek5,2,0.0137,0,0
Xeniaxe19580370,nickthegreek5,2,0.0128,0,1
Xeniaxe19580370,paliakaravana59,2,0.0247,0,1
angelikitsakani,johnblandos,2,0.0235,0,0
angelikitsakani,sinakatsarou,2,0.0233,0,0
evangelia_re,nickthegreek5,2,0.0137,0,1
galex1908,nickthegreek5,2,0.0127,0,0
giannMak,ptableart,2,0.0256,0,1
giannMak,teo_ntaleki,2,0.025,0,0
hatz_patty,paliakaravana59,2,0.0167,0,0
mpantazo,vythos70,2,0.0333,0,1
nickthegreek5,ptableart,2,0.0136,0,0
nickthegreek5,steiger_st28082,2,0.0134,0,0
steiger_st28082,vythos70,2,0.037,0,2
