account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,cohort_count,cohort_max_size,cohort_max_cascade_count,role_retail_user,role_amplifier_suspect,role_media_business,role_journalist_public_figure,role_source_hub,first_retweeter_ratio,propagation_lead_count,coordination_score,analyst_label
lafillemalgard1,26,23,3,8,0.8846,14,23,15,3,0.1304,6,0.2609,0,3,3622,3307,73899,5155,0,0,0,135,11,36,2,13,6,1,64,217,0,0,0,0,0,0.0038,14,53.03,
Annis2350561782,80,61,19,32,0.7625,60,61,54,1,0.0164,4,0.0656,11,10,1071,1745,50369,755,1,0,0,135,1,2,0,1,2,0,0,0,1,0,0,0,0,0.0163,60,52.59,
matrixneo1979,23,19,4,4,0.8261,17,19,16,1,0.0526,3,0.1579,0,0,3297,1654,29207,3013,1,0,0,135,1,2,0,1,2,0,0,0,0,0,1,0,0,0.0046,17,52.53,
Agie2a,53,35,18,17,0.6604,17,35,21,16,0.4571,4,0.1143,15,16,4459,3358,83113,1512,1,0,1,135,22,63,4,23,6,1,64,217,0,0,0,0,0,0.0046,17,52.36,
maus_miny,26,24,2,5,0.9231,8,24,11,12,0.5,6,0.25,9,21,4443,2094,64922,1509,1,0,0,135,36,124,11,38,11,1,64,217,0,0,0,0,0,0.0022,8,52.31,
LitsaXarou,14,13,1,1,0.9286,12,13,5,0,0.0,6,0.4615,0,1,13018,12667,180751,4091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0033,12,52.12,
Placebo_0,33,23,10,5,0.697,23,23,23,2,0.087,1,0.0435,6,1,6485,3501,327058,5168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,23,51.13,
MariaKoki3,22,19,3,6,0.8636,15,19,16,1,0.0526,2,0.1053,12,9,1415,753,124647,1207,1,0,0,135,5,11,1,4,3,1,41,4,1,0,0,0,0,0.0041,15,50.82,
tavros5791,2,2,0,0,1.0,2,2,2,1,0.5,1,0.5,4,0,2600,1163,81861,5888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,2,50.0,
frel_elias,17,15,2,5,0.8824,13,15,15,2,0.1333,1,0.0667,5,0,1147,1685,57833,5300,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,13,49.8,
VforVolemenos,14,12,2,4,0.8571,9,12,9,5,0.4167,2,0.1667,14,16,6729,6396,40799,1525,1,0,1,135,3,8,2,4,4,1,64,217,0,0,0,0,0,0.0024,9,49.17,
agapornis_mask,4,4,0,0,1.0,1,4,3,2,0.5,2,0.5,2,5,187,464,6721,5022,1,0,0,135,2,6,0,0,4,0,0,0,0,0,0,0,0,0.0003,1,48.75,
akrokentrwos_2,2,2,0,0,1.0,1,2,2,1,0.5,1,0.5,0,0,15228,1575,47317,2363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0003,1,48.75,
Rena_Rethymno,21,18,3,12,0.8571,8,18,14,8,0.4444,3,0.1667,8,8,,,,,,,,135,14,37,2,9,6,1,41,4,0,0,0,0,0,0.0022,8,48.33,
IK25818385,12,10,2,0,0.8333,10,10,7,2,0.2,3,0.3,15,1,1054,3299,10756,1876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027,10,47.67,
Theodoros674021,12,11,1,6,0.9167,7,11,9,3,0.2727,3,0.2727,2,2,605,507,29606,896,1,0,0,135,9,20,1,7,4,1,41,4,0,1,0,0,0,0.0019,7,47.65,
theatropoios,12,11,1,3,0.9167,11,11,10,0,0.0,2,0.1818,3,0,636,2099,23453,831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.003,11,47.65,
harakont,2,2,0,0,1.0,0,2,2,1,0.5,1,0.5,2,3,329,426,2528,1621,1,0,0,135,4,8,0,0,2,0,0,0,0,0,0,0,0,0.0,0,47.5,
EoLaerte,3,3,0,0,1.0,3,3,3,1,0.3333,1,0.3333,1,1,497,773,7644,1609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,3,47.08,
