account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
giannMak,vythos70,7,0.0341,0,1
nickthegreek5,tasoskar11,7,0.0247,0,2
46spiros,ArisBJJ,6,0.025,3,3
Track11John,sinakatsarou,6,0.0186,3,5
BatorGr,Briassulis,6,0.0375,2,2
K_Sav215,Track11John,6,0.0192,2,3
MenoEdo,giannMak,6,0.0316,2,3
TheMadoula,angie22gr,6,0.0706,2,2
46spiros,MasenkaMm230158,6,0.0215,1,4
Ah_riman,lafillemalgard1,6,0.1364,1,2
BatorGr,nickthegreek5,6,0.0199,1,2
Briassulis,DonConsclavios,6,0.0306,1,2
Briassulis,MKioulafa,6,0.0294,1,4
Catps66,sinakatsarou,6,0.0387,1,2
K_Sav215,MKioulafa,6,0.0368,1,6
K_Sav215,giannMak,6,0.0341,1,3
MariaDecokeke,SenzakiKamo,6,0.048,1,2
MenoEdo,hatz_patty,6,0.0306,1,3
Myrtilo01,sinakatsarou,6,0.0321,1,1
PitSpencer,angelikitsakani,6,0.0291,1,2
46spiros,ABCHeckles,6,0.0225,0,0
46spiros,Nogate_T,6,0.0245,0,1
46spiros,SenzakiKamo,6,0.0237,0,1
46spiros,dinoskonstantin,6,0.0188,0,0
46spiros,lidakis_manos,6,0.0248,0,4
46spiros,vythos70,6,0.0172,0,2
57lista,angelikitsakani,6,0.0366,0,1
AgelisDimitris,Agie2a,6,0.0286,0,4
Ah_riman,MKioulafa,6,0.0659,0,6
BatorGr,angelikitsakani,6,0.0337,0,2
Briassulis,galex1908,6,0.0261,0,2
DonConsclavios,angelikitsakani,6,0.028,0,1
Fay82776914F,MasenkaMm230158,6,0.0845,0,2
JSweetGR,nickthegreek5,6,0.0211,0,4
MKioulafa,Mirsini1946041,6,0.0476,0,2
MariaDecokeke,Rena_Rethymno,6,0.055,0,2
MasenkaMm230158,hatz_patty,6,0.042,0,2
MenoEdo,SenzakiKamo,6,0.0426,0,1
MenoEdo,maus_miny,6,0.0458,0,5
Nogate_T,mpantazo,6,0.0606,0,1
PitSpencer,ZafiriaF,6,0.0882,0,0
SenzakiKamo,chrysib11,6,0.0335,0,1
Track11John,johnblandos,6,0.0216,0,3
angelikitsakani,dimitris7987,6,0.0339,0,0
angelikitsakani,johnblandos,6,0.0276,0,0
chrysib11,g_m_theo,6,0.0368,0,2
chrysib11,xeniakan21,6,0.0323,0,2
dimitris7987,mpantazo,6,0.0612,0,0
galex1908,sinakatsarou,6,0.03,0,2
AgelisDimitris,MasenkaMm230158,5,0.0212,2,2
Briassulis,RockRock222555,5,0.026,2,2
K_Sav215,maus_miny,5,0.0424,2,4
chrysib11,greek_paris_13,5,0.0281,2,5
chrysib11,vythos70,5,0.0182,2,3
46spiros,Agie2a,5,0.0196,1,1
AgelisDimitris,GiotaPapapetrou,5,0.0137,1,3
AgelisDimitris,maus_miny,5,0.025,1,2
Agie2a,chrysib11,5,0.0276,1,2
AnAthenianToLDN,chrysib11,5,0.0301,1,1
BatorGr,MenoEdo,5,0.0373,1,3
Briassulis,johnblandos,5,0.025,1,3
Catps66,MenoEdo,5,0.0314,1,2
Catps66,galex1908,5,0.0352,1,5
Catps66,hatz_patty,5,0.037,1,3
DonConsclavios,K_Sav215,5,0.0321,1,4
Fotinh5,K_Sav215,5,0.0427,1,4
K_Sav215,hatz_patty,5,0.0273,1,1
Loxagos_Mark,Myrtilo01,5,0.0338,1,1
Nogate_T,chrysib11,5,0.0291,1,2
PitSpencer,chrysib11,5,0.025,1,1
TheMadoula,chrysib11,5,0.0273,1,3
Track11John,vythos70,5,0.0146,1,1
anasiropiastos,nickthegreek5,5,0.0165,1,4
g_m_theo,nickthegreek5,5,0.017,1,4
giannMak,mpantazo,5,0.0318,1,1
klikr,lafillemalgard1,5,0.098,1,1
46spiros,57lista,5,0.0216,0,1
46spiros,GiotaPapapetrou,5,0.0122,0,2
46spiros,NonameTZ,5,0.0213,0,3
46spiros,angie22gr,5,0.0182,0,0
AgelisDimitris,LGkvas,5,0.0244,0,0
AgelisDimitris,NonameTZ,5,0.0262,0,3
AgelisDimitris,PitSpencer,5,0.0217,0,0
AgelisDimitris,SenzakiKamo,5,0.0238,0,1
AgelisDimitris,dinoskonstantin,5,0.0181,0,2
AgelisDimitris,lidakis_manos,5,0.0251,0,2
Agie2a,angelikitsakani,5,0.0266,0,2
Ah_riman,dimitris7987,5,0.1064,0,1
Anthology2026,chrysib11,5,0.0207,0,0
Briassulis,Loxagos_Mark,5,0.0244,0,1
Briassulis,MenoEdo,5,0.0202,0,0
Briassulis,hatz_patty,5,0.0223,0,2
Briassulis,maus_miny,5,0.0314,0,1
Catps66,Track11John,5,0.0189,0,0
DonConsclavios,chrysib11,5,0.024,0,0
Fotinh5,nickthegreek5,5,0.0167,0,1
K_Sav215,Loxagos_Mark,5,0.0305,0,1
K_Sav215,MariaDecokeke,5,0.0262,0,4
K_Sav215,MenoEdo,5,0.0242,0,0
Loxagos_Mark,chrysib11,5,0.0231,0,3
MariaDecokeke,Nogate_T,5,0.0424,0,3
MariaDecokeke,galex1908,5,0.0266,0,0
MariaDecokeke,greek_paris_13,5,0.0403,0,3
MenoEdo,dinoskonstantin,5,0.024,0,1
MenoEdo,mpantazo,5,0.0267,0,0
RockRock222555,angelikitsakani,5,0.0238,0,0
TheMadoula,angelikitsakani,5,0.0263,0,1
angelikitsakani,fanis_rc,5,0.0251,0,1
cavodoro,nickthegreek5,5,0.0174,0,0
chrysib11,hatz_patty,5,0.0213,0,4
dinoskonstantin,nickthegreek5,5,0.0133,0,0
dkDurcGYTIpZdKl,nickthegreek5,5,0.0175,0,0
klikr,nickthegreek5,5,0.0162,0,0
K_Sav215,TheMadoula,4,0.0303,3,3
angelikitsakani,klikr,4,0.0214,3,4
57lista,mpantazo,4,0.046,2,3
DonConsclavios,VforVolemenos,4,0.0571,2,2
Fotinh5,angelikitsakani,4,0.0226,2,4
K_Sav215,galex1908,4,0.0209,2,2
46spiros,MKioulafa,4,0.0137,1,1
46spiros,fanis_rc,4,0.015,1,1
AgelisDimitris,MariaDecokeke,4,0.0146,1,2
ArgirNik,maus_miny,4,0.1111,1,1
Briassulis,NonameTZ,4,0.0265,1,1
Briassulis,fifi_apostolou,4,0.0202,1,2
DonConsclavios,hatz_patty,4,0.0272,1,2
GiotaPapapetrou,anasiropiastos,4,0.0188,1,4
GiotaPapapetrou,angelikitsakani,4,0.0116,1,3
GiotaPapapetrou,hatz_patty,4,0.0145,1,2
K_Sav215,kokkoriss,4,0.0345,1,2
MKioulafa,galex1908,4,0.0247,1,1
MKioulafa,giannMak,4,0.0268,1,3
MKioulafa,mpantazo,4,0.0276,1,3
MKioulafa,nickthegreek5,4,0.0115,1,1
Mirsini1946041,Myrtilo01,4,0.0284,1,3
Myrtilo01,mpantazo,4,0.0253,1,1
TheMadoula,maus_miny,4,0.0702,1,2
TsigkaEfi,mpantazo,4,0.0377,1,1
angelikitsakani,g_m_theo,4,0.0233,1,2
greek_paris_13,nickthegreek5,4,0.0129,1,3
46spiros,ArgirNik,4,0.0169,0,2
46spiros,DonConsclavios,4,0.0141,0,1
46spiros,Mrpresidentgr,4,0.0173,0,0
46spiros,Theodoros674021,4,0.0172,0,0
46spiros,ZafiriaF,4,0.0166,0,1
46spiros,greek_paris_13,4,0.0158,0,1
46spiros,maus_miny,4,0.0163,0,1
57lista,AgelisDimitris,4,0.0212,0,1
57lista,chrysib11,4,0.0252,0,0
ABCHeckles,Briassulis,4,0.0217,0,2
ABCHeckles,Catps66,4,0.0421,0,1
ABCHeckles,LGkvas,4,0.0548,0,0
ABCHeckles,MasenkaMm230158,4,0.0385,0,0
ABCHeckles,angie22gr,4,0.0408,0,2
ABCHeckles,chrysib11,4,0.0205,0,0
Aaagiiisss,Anthology2026,4,0.0317,0,0
AgelisDimitris,Catps66,4,0.0175,0,2
AgelisDimitris,dimitris7987,4,0.0198,0,0
AgelisDimitris,dkDurcGYTIpZdKl,4,0.0215,0,0
AgelisDimitris,economi94461498,4,0.0181,0,0
AgelisDimitris,tasoskar11,4,0.0215,0,0
AgelisDimitris,xeniakan21,4,0.0183,0,0
Agie2a,nickthegreek5,4,0.0128,0,1
Ah_riman,chrysib11,4,0.023,0,0
Anastasia7882,MenoEdo,4,0.0323,0,0
Anthology2026,nickthegreek5,4,0.0108,0,0
ArgirNik,MenoEdo,4,0.032,0,0
ArgirNik,nickthegreek5,4,0.0137,0,0
BatorGr,hatz_patty,4,0.036,0,1
BatorGr,maus_miny,4,0.087,0,0
Briassulis,TheMadoula,4,0.0231,0,0
Briassulis,dimitris7987,4,0.0248,0,0
Briassulis,sinakatsarou,4,0.0163,0,1
Briassulis,zneraida,4,0.0265,0,3
Catps66,Myrtilo01,4,0.0308,0,1
Catps66,mpantazo,4,0.0317,0,2
DonConsclavios,Loxagos_Mark,4,0.0312,0,0
DonConsclavios,MenoEdo,4,0.0234,0,0
DonConsclavios,Track11John,4,0.0144,0,4
DonConsclavios,nickthegreek5,4,0.0118,0,3
GiotaPapapetrou,TheMadoula,4,0.0179,0,2
K_Sav215,TsigkaEfi,4,0.0317,0,1
K_Sav215,johnblandos,4,0.025,0,2
Loxagos_Mark,Nogate_T,4,0.0435,0,2
Loxagos_Mark,johnblandos,4,0.0305,0,0
Loxagos_Mark,maus_miny,4,0.0444,0,0
MKioulafa,Rena_Rethymno,4,0.0476,0,1
MKioulafa,lafillemalgard1,4,0.0449,0,0
MariaDecokeke,angie22gr,4,0.0272,0,0
MariaDecokeke,dimitris7987,4,0.0339,0,0
MariaDecokeke,lafillemalgard1,4,0.0345,0,4
MariaDecokeke,maus_miny,4,0.0342,0,2
MasenkaMm230158,MenoEdo,4,0.0237,0,1
MasenkaMm230158,RockRock222555,4,0.0354,0,2
MasenkaMm230158,dinoskonstantin,4,0.0256,0,0
MasenkaMm230158,johnblandos,4,0.0331,0,2
MenoEdo,RockRock222555,4,0.0241,0,0
MenoEdo,TheMadoula,4,0.0274,0,0
MenoEdo,TsigkaEfi,4,0.0286,0,1
MenoEdo,evangelia_re,4,0.0342,0,0
MenoEdo,galex1908,4,0.0195,0,0
MenoEdo,vel_theGreek,4,0.0348,0,2
MenoEdo,vythos70,4,0.0168,0,2
Mirsini1946041,mpantazo,4,0.0292,0,0
Mirsini1946041,xeniakan21,4,0.0404,0,0
Myrtilo01,Nogate_T,4,0.0381,0,0
Myrtilo01,maus_miny,4,0.0388,0,0
PitSpencer,giannMak,4,0.0301,0,0
PitSpencer,sinakatsarou,4,0.025,0,0
RockRock222555,paliakaravana59,4,0.0221,0,1
RockRock222555,sinakatsarou,4,0.0245,0,3
SenzakiKamo,mpantazo,4,0.0367,0,2
SenzakiKamo,xeniakan21,4,0.0563,0,1
TheMadoula,Track11John,4,0.0159,0,0
TheMadoula,economi94461498,4,0.0519,0,0
TheMadoula,hatz_patty,4,0.0328,0,1
Tina5996,nickthegreek5,4,0.014,0,1
Track11John,galex1908,4,0.0129,0,1
TsigkaEfi,economi94461498,4,0.0563,0,0
agapornis_mask,nickthegreek5,4,0.0142,0,0
angelikitsakani,dkDurcGYTIpZdKl,4,0.0245,0,1
angelikitsakani,maus_miny,4,0.0225,0,2
angelikitsakani,paliakaravana59,4,0.0142,0,1
angie22gr,economi94461498,4,0.0426,0,0
chrysib11,lafillemalgard1,4,0.0235,0,3
dimitris7987,economi94461498,4,0.0615,0,0
dimitris7987,sinakatsarou,4,0.0305,0,0
economi94461498,maus_miny,4,0.0625,0,0
evangelia_re,nickthegreek5,4,0.014,0,3
galex1908,giannMak,4,0.0229,0,0
galex1908,xeniakan21,4,0.0301,0,0
giannMak,ptableart,4,0.0435,0,1
lidakis_manos,sinakatsarou,4,0.031,0,3
maus_miny,sinakatsarou,4,0.0308,0,2
mpantazo,xeniakan21,4,0.0345,0,2
nickthegreek5,ptableart,4,0.0138,0,0
sinakatsarou,vythos70,4,0.017,0,1
sinakatsarou,xeniakan21,4,0.0272,0,0
GiotaPapapetrou,Nogate_T,3,0.0141,2,3
MariaDecokeke,vythos70,3,0.0135,2,2
TsigkaEfi,angelikitsakani,3,0.0161,2,3
chrysib11,fifi_apostolou,3,0.0143,2,3
doubamari,mpantazo,3,0.0361,2,3
46spiros,johnblandos,3,0.0105,1,1
ABCHeckles,Ah_riman,3,0.0417,1,2
ABCHeckles,maus_miny,3,0.0435,1,1
AgelisDimitris,Fay82776914F,3,0.0154,1,1
AgelisDimitris,Loxagos_Mark,3,0.0121,1,1
AgelisDimitris,Mirsini1946041,3,0.0125,1,1
AgelisDimitris,g_m_theo,3,0.0153,1,3
Agie2a,Track11John,3,0.012,1,2
Ah_riman,mpantazo,3,0.0291,1,3
Anthology2026,angelikitsakani,3,0.012,1,2
ArisBJJ,Track11John,3,0.0127,1,3
Briassulis,communakios,3,0.0213,1,3
Briassulis,dkDurcGYTIpZdKl,3,0.0205,1,1
Catps66,vythos70,3,0.0169,1,3
DonConsclavios,maus_miny,3,0.0361,1,2
Evitel_,nickthegreek5,3,0.0106,1,1
Fay82776914F,johnblandos,3,0.038,1,1
FrankiKostas,nickthegreek5,3,0.0106,1,3
GiotaPapapetrou,Track11John,3,0.0074,1,1
LGkvas,angelikitsakani,3,0.0163,1,2
LGkvas,chrysib11,3,0.0169,1,1
Loxagos_Mark,Mirsini1946041,3,0.0233,1,1
MKioulafa,hatz_patty,3,0.0192,1,2
MariaDecokeke,TheMadoula,3,0.0229,1,1
MenoEdo,dimitris7987,3,0.0222,1,1
Mirsini1946041,fanis_rc,3,0.0286,1,3
Myrtilo01,dkDurcGYTIpZdKl,3,0.0337,1,2
Myrtilo01,fanis_rc,3,0.0238,1,3
Rena_Rethymno,chrysib11,3,0.0181,1,1
RockRock222555,Xeniaxe19580370,3,0.039,1,3
RockRock222555,johnblandos,3,0.0252,1,2
SenzakiKamo,maus_miny,3,0.0545,1,3
TheMadoula,anasiropiastos,3,0.0492,1,2
TsigkaEfi,chrysib11,3,0.0168,1,3
TsigkaEfi,johnblandos,3,0.0323,1,2
TsigkaEfi,zneraida,3,0.0698,1,1
angelikitsakani,fifi_apostolou,3,0.0138,1,1
angelikitsakani,unico11226,3,0.0171,1,1
angie22gr,vythos70,3,0.0167,1,1
chrysib11,johnblandos,3,0.0141,1,2
chrysib11,steiger_st28082,3,0.0186,1,2
galex1908,hatz_patty,3,0.0165,1,2
giannMak,tasoskar11,3,0.0337,1,1
hatz_patty,maus_miny,3,0.0273,1,3
46spiros,Aaagiiisss,3,0.0117,0,0
46spiros,EthanAnargyrous,3,0.0132,0,0
46spiros,Fay82776914F,3,0.0126,0,1
46spiros,JimyWis,3,0.0132,0,1
46spiros,Rena_Rethymno,3,0.0125,0,0
46spiros,cavodoro,3,0.0129,0,0
46spiros,silaserafim,3,0.0122,0,2
46spiros,tasoskar11,3,0.013,0,1
ABCHeckles,JSweetGR,3,0.0556,0,3
ABCHeckles,MenoEdo,3,0.019,0,0
ABCHeckles,RockRock222555,3,0.0294,0,0
ABCHeckles,TheMadoula,3,0.0366,0,1
ABCHeckles,Tina5996,3,0.0556,0,0
ABCHeckles,angelikitsakani,3,0.0148,0,2
ABCHeckles,hatz_patty,3,0.0224,0,0
ABCHeckles,paliakaravana59,3,0.0173,0,1
ABCHeckles,sinakatsarou,3,0.0194,0,1
Aaagiiisss,Xeniaxe19580370,3,0.0545,0,2
Aaagiiisss,angelikitsakani,3,0.0158,0,0
Aaagiiisss,dinoskonstantin,3,0.0227,0,0
AgelisDimitris,BatorGr,3,0.0147,0,1
AgelisDimitris,K_Sav215,3,0.0108,0,0
AgelisDimitris,Myrtilo01,3,0.0115,0,2
AgelisDimitris,Nogate_T,3,0.0147,0,0
AgelisDimitris,Rena_Rethymno,3,0.0153,0,2
AgelisDimitris,cavodoro,3,0.0159,0,0
AgelisDimitris,greek_paris_13,3,0.0143,0,3
AgelisDimitris,johnblandos,3,0.0123,0,1
Agie2a,RockRock222555,3,0.0337,0,0
Agie2a,giannMak,3,0.0261,0,0
Agie2a,nilsholgerson_,3,0.0732,0,2
Ah_riman,g_m_theo,3,0.0714,0,2
Ah_riman,greek_paris_13,3,0.0536,0,2
Anastasia7882,nickthegreek5,3,0.0102,0,0
Anthology2026,PitSpencer,3,0.0205,0,1
ArisBJJ,angelikitsakani,3,0.017,0,2
BatorGr,Catps66,3,0.0405,0,0
BatorGr,PitSpencer,3,0.039,0,0
Briassulis,Fotinh5,3,0.0187,0,2
Briassulis,Nogate_T,3,0.0184,0,0
Briassulis,TsigkaEfi,3,0.0179,0,0
Briassulis,consue_banana_,3,0.021,0,1
Briassulis,doubamari,3,0.0208,0,3
Briassulis,economi94461498,3,0.0166,0,0
Briassulis,fanis_rc,3,0.0164,0,1
Briassulis,kokkoriss,3,0.019,0,1
Briassulis,ptableart,3,0.02,0,0
Briassulis,tasoskar11,3,0.0205,0,1
Catps66,Nogate_T,3,0.0405,0,0
Catps66,SenzakiKamo,3,0.0366,0,2
Catps66,chrysib11,3,0.0151,0,0
Catps66,johnblandos,3,0.0265,0,0
Catps66,xeniakan21,3,0.0337,0,0
Chaos_kreator,dimitris7987,3,0.1071,0,2
DonConsclavios,MasenkaMm230158,3,0.0252,0,2
DonConsclavios,economi94461498,3,0.0291,0,0
DonConsclavios,giannMak,3,0.0211,0,1
EthanAnargyrous,nickthegreek5,3,0.0106,0,1
Fay82776914F,MenoEdo,3,0.0236,0,1
Fotinh5,Myrtilo01,3,0.0291,0,0
Fotinh5,hatz_patty,3,0.0275,0,2
Fotinh5,mpantazo,3,0.0303,0,2
Fotinh5,sinakatsarou,3,0.0231,0,1
FrankiKostas,maus_miny,3,0.12,0,0
G4Heron,QuercusLg,3,0.0337,0,2
GeorgiadouL,TheMadoula,3,0.0682,0,0
GeorgiadouL,nickthegreek5,3,0.0104,0,0
GiotaPapapetrou,MariaDecokeke,3,0.0106,0,1
GiotaPapapetrou,johnblandos,3,0.0119,0,0
InafiZinaf1,nickthegreek5,3,0.0107,0,0
K_Sav215,NodarasSpiros,3,0.0286,0,2
K_Sav215,dimitris7987,3,0.0248,0,0
K_Sav215,dkDurcGYTIpZdKl,3,0.0286,0,1
K_Sav215,klikr,3,0.0233,0,2
K_Sav215,tasoskar11,3,0.0286,0,2
L6sVita,MenoEdo,3,0.0254,0,0
L6sVita,maus_miny,3,0.1034,0,0
LGkvas,Loxagos_Mark,3,0.0312,0,2
LGkvas,Nogate_T,3,0.0577,0,1
LGkvas,TsigkaEfi,3,0.0526,0,0
LGkvas,economi94461498,3,0.0429,0,0
LGkvas,maus_miny,3,0.06,0,0
Loxagos_Mark,MKioulafa,3,0.0219,0,2
Loxagos_Mark,Track11John,3,0.0105,0,0
Loxagos_Mark,dinoskonstantin,3,0.018,0,1
Loxagos_Mark,giannMak,3,0.02,0,0
MKioulafa,Myrtilo01,3,0.02,0,0
