account_handle,first_retweeter_count,unique_targets_first,top_target_author,top_target_count,target_hhi,median_lag_to_second_retweet_sec,role_label,cohort_ids,component_id
nikglykos,2,2,Santi_ABASCAL,1,0.5,,media_business,,
steliostso,2,2,SMpliat,1,0.5,3271,source_hub,,
tavros5791,2,2,praktikiskepsi,1,0.5,19563,unknown,,
2Harvard2,1,1,ellada24,1,1.0,3957,unknown,,
2eateras,1,1,zeynepkologluu,1,1.0,16875,unknown,,
AleaJactaEst101,1,1,ek_tou_kanapeos,1,1.0,7976,mixed_behavior,,
AlexAlexroll,1,1,petros_GR,1,1.0,,unknown,,
AndriotGreg,1,1,Agie2a,1,1.0,3432,unknown,,
AsimakosGiannis,1,1,isaacrrr7,1,1.0,,unknown,,
Athanasiosfara1,1,1,frad_fradi,1,1.0,,mixed_behavior,,
ChrisDarko39,1,1,Tiramolas_,1,1.0,20948,unknown,,
Christodoulakos,1,1,ourania15,1,1.0,2825,mixed_behavior,,
ClarkGBeul,1,1,AthanDim,1,1.0,,unknown,,
CroniusZeus,1,1,i_athina_mas,1,1.0,4442,mixed_behavior,,1
DimitrisP69501,1,1,Johnnyhoston_2,1,1.0,19038,unknown,,
Dv500x,1,1,Osinttechnical,1,1.0,,source_hub,,
DvsDvs60195368,1,1,georgiosmantzo1,1,1.0,,source_hub,,
FrankiKostas,1,1,AdonisGeorgiadi,1,1.0,4439,mixed_behavior,1,1
Georgia146690,1,1,epigeiathea,1,1.0,,unknown,,
Greekprn,1,1,nypost,1,1.0,,source_hub,,
Hlsn0iQdRGXJ7lw,1,1,iefimerida,1,1.0,,mixed_behavior,,
JSweetGR,1,1,Parkernomics,1,1.0,,mixed_behavior,1,1
JanSobiesk1683V,1,1,_A_khalifa,1,1.0,17283,unknown,,
Kabamaru__n,1,1,Akiratos_,1,1.0,,unknown,,
Konstan18155165,1,1,apablaze,1,1.0,3434,unknown,,
Kostas18748292,1,1,GGoudaras,1,1.0,11087,unknown,,
Lucy75218876,1,1,JemappelleEve,1,1.0,3566,unknown,,
Manolo_math,1,1,BUNDZONE,1,1.0,,unknown,,
MarkRenieris,1,1,trad_west_,1,1.0,,mixed_behavior,,
Marria198,1,1,tomanifesto,1,1.0,,unknown,,
Masprixate,1,1,panta_tif,1,1.0,2437,unknown,,
OratiosPoulos,1,1,nypost,1,1.0,,unknown,,
PanosStayis,1,1,ByJimbob,1,1.0,,retail_user,,
Pia_Soun,1,1,ArchBradley,1,1.0,,unknown,,
PiraeusStef,1,1,mariavellou,1,1.0,,unknown,,
