account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
ArisBJJ,True,27,21,6,9,0.7778,9,21,17,8,0.381,ArisBJJ,3,0.1429,9,3,3251,1350,16530,2011-05-05T15:42:51+03:00,False,False,True,,45.62
themagus2022,True,12,11,1,1,0.9167,9,11,11,1,0.0909,AHD_from_TX,1,0.0909,7,0,243,482,17142,2022-08-23T18:10:12+03:00,True,True,False,,45.61
g_m_theo,True,23,18,5,7,0.7826,7,18,13,8,0.4444,greek_paris_13,4,0.2222,1,2,6361,5677,60304,2015-01-28T16:06:18+02:00,True,False,False,el,45.03
4lhc_athens,True,4,2,2,0,0.5,2,2,1,2,1.0,G4Heron,2,1.0,1,4,239,251,3529,2025-09-25T17:51:19+03:00,True,False,False,,45.0
Electra306,True,4,4,0,3,1.0,3,4,4,1,0.25,AxtarmasC,1,0.25,0,0,5209,2752,133167,2020-03-01T17:16:11+02:00,True,False,True,en,45.0
ElinaKoliop,True,4,4,0,0,1.0,3,4,4,1,0.25,xa_xa_xa_xo_xo,1,0.25,0,0,458,454,25220,2022-09-16T21:57:10+03:00,True,False,False,el,45.0
Evitel_,True,4,4,0,0,1.0,0,4,4,2,0.5,failosK,1,0.25,0,0,2501,1280,49592,2011-02-23T23:38:38+02:00,False,False,True,el,45.0
Realism_47,True,4,4,0,0,1.0,3,4,4,1,0.25,GeorghyZhukov,1,0.25,0,0,1238,4249,20316,2021-02-10T17:34:20+02:00,True,False,False,el,45.0
Volcom40893832,True,4,4,0,0,1.0,1,4,3,1,0.25,AdonisGeorgiadi,2,0.5,1,4,835,839,13053,2019-03-28T15:16:11+02:00,True,False,False,el,45.0
chrisvwgolf,True,4,4,0,0,1.0,3,4,4,1,0.25,isaacrrr7,1,0.25,4,0,52,32,8666,2022-11-11T09:47:35+02:00,True,False,False,el,45.0
