account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
Ti_kanete_re,1,263,0.4387,236,4.533,-3.636,0.3965,0.0,0.0,0
akrokentrwos_2,1,263,0.4371,237,4.3029,-2.0409,2.555,48.75,1.0,0
HouseElisabeth_,1,263,0.437,238,4.0139,-1.0864,0.6068,58.93,1.0,0
Leniw_Lenia,1,263,0.4368,239,3.9403,-0.6303,0.734,60.0,1.0,0
CroniusZeus,1,263,0.4364,240,3.1541,-1.0478,1.2016,44.58,1.0,2
Kabamaru__n,1,263,0.4354,241,4.0383,-3.4951,-1.1619,46.25,1.0,0
akenaton37,1,263,0.4351,242,4.2478,-4.2031,-1.6941,0.0,0.0,0
hermesjk,1,263,0.4345,243,4.0663,-3.8939,-0.5512,0.0,0.0,0
ChrisDarko39,1,263,0.4336,244,4.6767,-2.3168,2.2615,61.25,1.0,0
Perdim1,1,263,0.4335,245,4.5829,-2.8182,1.6076,60.0,1.0,0
DejaLogic,1,263,0.4334,246,3.8128,-1.8291,1.7651,33.33,0.75,0
melambus,1,263,0.4325,247,4.404,-3.5807,0.4437,0.0,0.0,0
kaltsib,1,263,0.4324,248,4.0421,-3.9591,-0.801,0.0,0.0,0
Iliserp,1,263,0.4311,249,4.8005,-3.8192,0.2427,0.0,0.0,0
LosKarabou79397,1,263,0.4308,250,3.2774,-2.5516,-0.8453,30.83,0.6667,0
daenerys777777,1,263,0.4305,251,4.261,-3.8669,-0.4985,0.0,0.0,0
packad__,1,263,0.4298,252,3.536,-2.9341,0.2428,21.67,0.3333,0
aekzurich21,1,263,0.4298,253,3.8729,-0.6359,0.5436,60.62,1.0,0
ZYNkD4UIaXYsoaL,1,263,0.4295,254,7.6127,-1.3519,1.3516,46.25,1.0,0
__darcelX__,1,263,0.4291,255,4.4343,-3.6966,0.278,0.0,0.0,0
2PAzkjh6oFRW77D,1,263,0.4281,256,3.1423,-1.904,1.5655,24.17,0.3333,0
