original_tweet_id,original_author_handle,origin_is_member,retweet_count,unique_retweeter_count,first_retweeter,first_retweeter_recurrence,time_to_k5_sec,time_to_k10_sec,time_to_k50_sec,burst_kurtosis,burst_peak_window_start_sec,burst_peak_window_count,same_client_share,dominant_client,amplifier_component_ids,amplifier_cohort_ids,amplifier_role_mix,propagation_score,spread_path_preview
2044690846595871186,michaeldickson,False,1,1,unico11226,15,,,,0.0,0,1,1.0,Twitter for Android,1,,retail_user:1.00,17.5452,unico11226@+0s[c1/h0]
2044691231528108543,Bodymist18668,False,1,1,AgelisDimitris,90,,,,0.0,0,1,1.0,Twitter for iPhone,1,,mixed_behavior:1.00,17.5452,AgelisDimitris@+0s[c1/h0]
2044691819586273383,AdonisGeorgiadi,False,1,1,DonConsclavios,41,,,,0.0,0,1,1.0,Twitter for iPhone,1,,retail_user:1.00,17.5452,DonConsclavios@+0s[c1/h0]
2044691841153482985,MariaDecokeke,True,1,1,hatz_patty,56,,,,0.0,0,1,1.0,Twitter for Android,1,,mixed_behavior:1.00,17.5452,hatz_patty@+0s[c1/h0]
2044692269421232252,VividProwess,False,1,1,PitSpencer,29,,,,0.0,0,1,1.0,Twitter Web App,1,,amplifier_suspect:1.00,17.5452,PitSpencer@+0s[c1/h0]
2044692347905040889,tbickle1976,False,1,1,G4Heron,60,,,,0.0,0,1,1.0,Twitter for Android,2,,media_business:1.00,17.5452,G4Heron@+0s[c2/h0]
2044692615568724397,Maks_NAFO_FELLA,False,1,1,parodynews,9,,,,0.0,0,1,1.0,Twitter for iPhone,1,,media_business:1.00,17.5452,parodynews@+0s[c1/h0]
2044692964874543191,israelnewspulse,False,1,1,paliakaravana59,105,,,,0.0,0,1,1.0,Twitter for iPhone,1,,amplifier_suspect:1.00,17.5452,paliakaravana59@+0s[c1/h0]
2044693509928558691,RealXavier011,False,1,1,BananaJoeReload,40,,,,0.0,0,1,1.0,Twitter for Android,1,,mixed_behavior:1.00,17.5452,BananaJoeReload@+0s[c1/h0]
2044693603411226892,michaelkatrinis,False,1,1,silaserafim,19,,,,0.0,0,1,1.0,Twitter Web App,1,,media_business:1.00,17.5452,silaserafim@+0s[c1/h0]
2044693693102268722,I_love_family1,False,1,1,foivos_trikkis_,16,,,,0.0,0,1,1.0,Twitter for iPhone,,,retail_user:1.00,17.5452,foivos_trikkis_@+0s[c0/h0]
2044694414128218467,AnAthenianToLDN,True,1,1,vythos70,98,,,,0.0,0,1,1.0,Twitter for iPhone,1,,mixed_behavior:1.00,17.5452,vythos70@+0s[c1/h0]
2044694447661756875,WHLeavitt,False,1,1,paliakaravana59,105,,,,0.0,0,1,1.0,Twitter for iPhone,1,,amplifier_suspect:1.00,17.5452,paliakaravana59@+0s[c1/h0]
2044695019743797714,MaryMary_1,False,1,1,ScroogeKifissia,40,,,,0.0,0,1,1.0,Twitter for Android,,,media_business:1.00,17.5452,ScroogeKifissia@+0s[c0/h0]
2044695198916112749,Natursee,False,1,1,KyrPantelis3,11,,,,0.0,0,1,1.0,Twitter Web App,,,amplifier_suspect:1.00,17.5452,KyrPantelis3@+0s[c0/h0]
2044695696528310718,JoeyMannarino,False,1,1,NikosVsdl8,38,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,NikosVsdl8@+0s[c1/h0]
2044696562488447401,PsyGuy007,False,1,1,paliakaravana59,105,,,,0.0,0,1,1.0,Twitter for iPhone,1,,amplifier_suspect:1.00,17.5452,paliakaravana59@+0s[c1/h0]
2044696796954263701,panta_tif,False,1,1,AgelisDimitris,90,,,,0.0,0,1,1.0,Twitter for iPhone,1,,mixed_behavior:1.00,17.5452,AgelisDimitris@+0s[c1/h0]
2044697149267390705,panta_tif,False,1,1,ABCHeckles,37,,,,0.0,0,1,1.0,Twitter for iPhone,1,,amplifier_suspect:1.00,17.5452,ABCHeckles@+0s[c1/h0]
2044698514400174126,VintageRockN_85,False,1,1,freemindspirits,9,,,,0.0,0,1,1.0,Twitter for Android,,,retail_user:1.00,17.5452,freemindspirits@+0s[c0/h0]
2044698600710758752,elenasagiadinou,False,1,1,ArgirNik,11,,,,0.0,0,1,1.0,Twitter for Android,1,,retail_user:1.00,17.5452,ArgirNik@+0s[c1/h0]
2044698678045094262,AnAthenianToLDN,True,1,1,giannMak,30,,,,0.0,0,1,1.0,Twitter for Android,1,,mixed_behavior:1.00,17.5452,giannMak@+0s[c1/h0]
2044698814473257218,Foni_tis,False,1,1,Anthology2026,76,,,,0.0,0,1,1.0,Twitter Web App,1,,retail_user:1.00,17.5452,Anthology2026@+0s[c1/h0]
2044699250903105825,sofiafonsoferre,False,1,1,g_m_theo,7,,,,0.0,0,1,1.0,Twitter for Android,1,,media_business:1.00,17.5452,g_m_theo@+0s[c1/h0]
2044699279655129432,panta_tif,False,1,1,AgelisDimitris,90,,,,0.0,0,1,1.0,Twitter for iPhone,1,,mixed_behavior:1.00,17.5452,AgelisDimitris@+0s[c1/h0]
