account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
TheMadoula,chrysib11,4,0.0296,0,2
TheMadoula,hatz_patty,4,0.0328,0,1
Tina5996,nickthegreek5,4,0.0141,0,1
Track11John,galex1908,4,0.0135,0,1
angelikitsakani,angie22gr,4,0.0351,0,2
angelikitsakani,johnblandos,4,0.0274,0,0
angelikitsakani,lidakis_manos,4,0.0354,0,1
angelikitsakani,maus_miny,4,0.0345,0,2
angelikitsakani,paliakaravana59,4,0.0198,0,1
angie22gr,nickthegreek5,4,0.0135,0,0
angie22gr,sinakatsarou,4,0.0312,0,0
dinoskonstantin,nickthegreek5,4,0.0131,0,0
economi94461498,nickthegreek5,4,0.0135,0,0
galex1908,giannMak,4,0.0248,0,0
galex1908,xeniakan21,4,0.0392,0,0
giannMak,ptableart,4,0.044,0,1
lidakis_manos,sinakatsarou,4,0.0315,0,3
maus_miny,sinakatsarou,4,0.0308,0,2
nickthegreek5,ptableart,4,0.014,0,0
nickthegreek5,tasoskar11,4,0.0143,0,2
sinakatsarou,vythos70,4,0.0189,0,1
sinakatsarou,xeniakan21,4,0.0308,0,0
57lista,mpantazo,3,0.0508,2,3
Fotinh5,angelikitsakani,3,0.0273,2,3
GiotaPapapetrou,Nogate_T,3,0.0149,2,3
K_Sav215,galex1908,3,0.0201,2,2
MariaDecokeke,vythos70,3,0.0178,2,2
TheMadoula,angie22gr,3,0.0536,2,2
46spiros,johnblandos,3,0.0114,1,1
ABCHeckles,Ah_riman,3,0.0423,1,2
ABCHeckles,maus_miny,3,0.0441,1,1
AgelisDimitris,Fay82776914F,3,0.0175,1,1
AgelisDimitris,g_m_theo,3,0.0175,1,3
Agie2a,Track11John,3,0.0128,1,2
Ah_riman,mpantazo,3,0.039,1,3
AnAthenianToLDN,chrysib11,3,0.0268,1,1
ArisBJJ,Track11John,3,0.0129,1,3
Catps66,vythos70,3,0.0195,1,3
DonConsclavios,maus_miny,3,0.0588,1,2
GiotaPapapetrou,Track11John,3,0.0074,1,1
GiotaPapapetrou,angelikitsakani,3,0.0106,1,3
K_Sav215,kokkoriss,3,0.04,1,1
LGkvas,angelikitsakani,3,0.0259,1,2
LGkvas,chrysib11,3,0.0246,1,1
MKioulafa,hatz_patty,3,0.0226,1,2
MKioulafa,mpantazo,3,0.0309,1,2
MKioulafa,nickthegreek5,3,0.0093,1,1
MariaDecokeke,TheMadoula,3,0.03,1,1
Rena_Rethymno,chrysib11,3,0.0256,1,1
RockRock222555,Xeniaxe19580370,3,0.0435,1,3
RockRock222555,johnblandos,3,0.0294,1,2
SenzakiKamo,maus_miny,3,0.0545,1,3
TheMadoula,anasiropiastos,3,0.05,1,2
TsigkaEfi,johnblandos,3,0.0405,1,2
angelikitsakani,g_m_theo,3,0.028,1,2
chrysib11,johnblandos,3,0.0196,1,2
galex1908,hatz_patty,3,0.0179,1,2
hatz_patty,maus_miny,3,0.0273,1,3
46spiros,DonConsclavios,3,0.0125,0,1
46spiros,EthanAnargyrous,3,0.0139,0,0
46spiros,Fay82776914F,3,0.0134,0,1
46spiros,JimyWis,3,0.0139,0,1
46spiros,Rena_Rethymno,3,0.0132,0,0
46spiros,angie22gr,3,0.0129,0,0
46spiros,cavodoro,3,0.0136,0,0
46spiros,silaserafim,3,0.013,0,2
57lista,chrysib11,3,0.0278,0,0
ABCHeckles,JSweetGR,3,0.0566,0,3
ABCHeckles,LGkvas,3,0.0448,0,0
ABCHeckles,MenoEdo,3,0.0192,0,0
ABCHeckles,TheMadoula,3,0.037,0,1
ABCHeckles,Tina5996,3,0.0566,0,0
ABCHeckles,angelikitsakani,3,0.0214,0,2
ABCHeckles,hatz_patty,3,0.0226,0,0
ABCHeckles,paliakaravana59,3,0.0195,0,1
ABCHeckles,sinakatsarou,3,0.0195,0,1
AgelisDimitris,Agie2a,3,0.017,0,2
AgelisDimitris,BatorGr,3,0.0165,0,1
AgelisDimitris,K_Sav215,3,0.0132,0,0
AgelisDimitris,MariaDecokeke,3,0.0135,0,1
AgelisDimitris,Nogate_T,3,0.0174,0,0
AgelisDimitris,PitSpencer,3,0.0169,0,0
AgelisDimitris,Rena_Rethymno,3,0.0171,0,2
AgelisDimitris,cavodoro,3,0.0179,0,0
AgelisDimitris,greek_paris_13,3,0.0159,0,3
AgelisDimitris,johnblandos,3,0.0142,0,1
AgelisDimitris,lidakis_manos,3,0.0169,0,2
Agie2a,RockRock222555,3,0.0448,0,0
Agie2a,giannMak,3,0.0303,0,0
Ah_riman,g_m_theo,3,0.0789,0,2
Ah_riman,greek_paris_13,3,0.0536,0,2
Anastasia7882,nickthegreek5,3,0.0105,0,0
ArisBJJ,angelikitsakani,3,0.0275,0,2
BatorGr,hatz_patty,3,0.027,0,0
