account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,default_profile,default_profile_image,is_blue_verified,coordination_score,analyst_label
57lista,4,3,1,1,0.75,1,3,3,1,0.3333,1,0.3333,0,0,1649,1545,15807,1,0,0,35.83,
lafillemalgard1,5,4,1,1,0.8,4,4,4,0,0.0,1,0.25,0,0,3622,3305,73800,0,0,0,35.5,
JSweetGR,6,5,1,2,0.8333,1,5,5,1,0.2,1,0.2,0,2,3253,2123,70935,0,0,1,35.42,
AnAthenianToLDN,11,7,4,4,0.6364,4,7,7,3,0.4286,1,0.1429,1,0,22206,2364,229235,0,0,0,35.13,
AthanasiouCccp,7,5,2,3,0.7143,4,5,5,1,0.2,1,0.2,0,1,6137,5379,145365,1,0,0,35.0,
KosmidisStathis,5,4,1,0,0.8,3,4,4,0,0.0,1,0.25,2,0,9688,5717,81657,1,0,0,34.25,
steiger_st28082,9,6,3,0,0.6667,5,6,5,0,0.0,2,0.3333,0,4,2121,3166,130052,1,0,0,32.92,
jparthen,4,3,1,3,0.75,2,3,3,0,0.0,1,0.3333,0,4,552,475,46522,0,0,0,32.08,
ippotech,4,2,2,1,0.5,1,2,2,1,0.5,1,0.5,0,3,3981,4568,81449,0,0,0,31.25,
Mrpresidentgr,4,3,1,2,0.75,1,3,3,0,0.0,1,0.3333,2,1,3817,2976,54071,1,0,1,30.83,
frel_elias,3,2,1,2,0.6667,2,2,2,0,0.0,1,0.5,4,0,1142,1676,57594,1,0,1,30.83,
kostasagg1965,3,2,1,1,0.6667,2,2,2,0,0.0,1,0.5,0,0,355,7206,34749,1,0,0,30.83,
Placebo_0,8,5,3,1,0.625,5,5,5,0,0.0,1,0.2,2,0,6475,3501,326861,0,0,0,30.12,
KyrPantelis3,3,2,1,1,0.6667,1,2,2,0,0.0,1,0.5,0,0,394,2408,15084,1,0,0,29.58,
anasiropiastos,5,3,2,1,0.6,1,3,2,0,0.0,2,0.6667,0,0,345,290,7402,1,0,0,28.92,
PanosStayis,2,1,1,1,0.5,1,1,1,0,0.0,1,1.0,0,0,347,347,6833,1,0,0,28.75,
RXRqdEgogik2Z9P,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,3532,1051,22412,1,0,0,28.75,
despica67766915,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,845,1154,17983,1,0,0,28.75,
dkDurcGYTIpZdKl,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,2,3398,2363,96896,1,0,0,28.75,
isidoragiou1,2,1,1,1,0.5,1,1,1,0,0.0,1,1.0,0,0,599,291,15256,0,0,0,28.75,
pnevan11,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,619,1459,7987,1,0,0,28.75,
GP_74_,3,2,1,1,0.6667,0,2,2,0,0.0,1,0.5,0,1,1327,1023,18356,1,0,0,28.33,
foivos_trikkis_,12,6,6,5,0.5,6,6,6,0,0.0,1,0.1667,4,2,1519,807,38658,1,0,0,26.67,
Abovelaw13,16,7,9,3,0.4375,7,7,7,0,0.0,1,0.1429,27,8,1065,582,10995,1,0,1,25.49,
amantomatimou,8,4,4,3,0.5,4,4,4,0,0.0,1,0.25,0,0,5606,557,82646,0,0,0,25.0,
ArgirNik,3,1,2,2,0.3333,1,1,1,0,0.0,1,1.0,0,0,829,516,156054,1,0,0,22.92,
parodynews,3,1,2,2,0.3333,1,1,1,0,0.0,1,1.0,0,0,3574,4099,180025,0,0,0,22.92,
agnwstos_x_,4,1,3,0,0.25,1,1,1,0,0.0,1,1.0,2,0,4235,1618,45887,1,0,0,20.0,
NodarasSpiros,14,3,11,11,0.2143,1,3,3,1,0.3333,1,0.3333,0,0,8696,2447,191042,1,0,0,17.08,
Greekprn,7,1,6,0,0.1429,1,1,1,0,0.0,1,1.0,6,0,6049,3860,157872,0,0,0,16.25,
DvsDvs60195368,9,0,9,1,0.0,0,0,0,0,0.0,0,0.0,0,0,3465,3428,62433,1,0,1,0.0,
ellada24,6,0,6,0,0.0,0,0,0,0,0.0,0,0.0,0,0,29792,1448,89304,1,0,1,0.0,
Veltsi_Legacy,5,0,5,3,0.0,0,0,0,0,0.0,0,0.0,0,0,1223,574,12772,1,0,1,0.0,
John_Fletcher70,4,0,4,3,0.0,0,0,0,0,0.0,0,0.0,0,2,4246,955,118492,0,0,0,0.0,
MoudilosV,4,0,4,2,0.0,0,0,0,0,0.0,0,0.0,4,0,1877,1736,24621,0,0,1,0.0,
olofwti_agapi,4,0,4,0,0.0,0,0,0,0,0.0,0,0.0,4,0,348,134,5573,1,0,0,0.0,
Wwwwww42362442,3,0,3,3,0.0,0,0,0,0,0.0,0,0.0,0,0,1977,3158,28015,1,0,0,0.0,
gospodinmedvedd,3,0,3,1,0.0,0,0,0,0,0.0,0,0.0,1,1,340,369,4828,1,0,0,0.0,
n_palaiopanou,3,0,3,1,0.0,0,0,0,0,0.0,0,0.0,0,3,,,,,,,0.0,
trescommeilfaut,3,0,3,0,0.0,0,0,0,0,0.0,0,0.0,0,0,1736,845,11916,0,0,0,0.0,
Apstolos14616,2,0,2,1,0.0,0,0,0,0,0.0,0,0.0,0,0,142,168,2079,1,1,1,0.0,
AstyMpekas,2,0,2,2,0.0,0,0,0,0,0.0,0,0.0,0,3,311,153,6981,1,0,0,0.0,
Rinokeros2023,2,0,2,0,0.0,0,0,0,0,0.0,0,0.0,2,0,27,114,2947,1,0,0,0.0,
Tiramolas_,2,0,2,0,0.0,0,0,0,0,0.0,0,0.0,2,2,88,100,979,1,0,0,0.0,
nikos_aggelakis,2,0,2,1,0.0,0,0,0,0,0.0,0,0.0,0,1,554,1161,11577,1,0,0,0.0,
omadaalithias,2,0,2,0,0.0,0,0,0,0,0.0,0,0.0,0,0,110821,581,15850,0,0,1,0.0,
4lhc_athens,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,234,244,3411,1,0,0,0.0,
Drifter_1066,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,2,,,,,,,0.0,
Dv500x,1,0,1,1,0.0,0,0,0,0,0.0,0,0.0,0,0,575,322,17726,1,0,0,0.0,
GeorghyZhukov,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,37794,1305,52909,0,0,1,0.0,
Guson653566,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,,,,,,,0.0,
HFirstpriest,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,,,,,,,0.0,
Lollos1242232,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,,,,,,,0.0,
LosKarabou79397,1,0,1,1,0.0,0,0,0,0,0.0,0,0.0,2,0,255,282,869,1,0,0,0.0,
MatrimC110073,1,0,1,1,0.0,0,0,0,0,0.0,0,0.0,0,0,961,1450,17959,1,0,1,0.0,
PhunkD14,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,240,1010,8736,1,0,0,0.0,
Pi8kiavlozampis,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,,,,,,,0.0,
Sunflower19731,1,0,1,1,0.0,0,0,0,0,0.0,0,0.0,0,0,203,234,2355,1,0,0,0.0,
Tasos3025749307,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,113,56,5761,1,0,0,0.0,
TheSurigata,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,3,0,578,286,23409,1,0,0,0.0,
TheocharousH,1,0,1,1,0.0,0,0,0,0,0.0,0,0.0,0,1,,,,,,,0.0,
aikarerina,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,1,0,2570,3102,26572,1,0,0,0.0,
christoskostaki,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,,,,,,,0.0,
consue_banana_,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,1,0,3650,2361,27027,1,0,0,0.0,
failosK,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,47459,2212,56816,1,0,0,0.0,
giorgosgreen,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,1121,557,10256,1,0,0,0.0,
hermesjk,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,451,379,11673,0,0,0,0.0,
kefalaiouxos,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,558,208,20902,1,0,0,0.0,
kikirik_nik,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,3756,110,16460,0,0,0,0.0,
kontologis,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,6820,3645,80305,0,0,0,0.0,
lordos_noble,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,1320,985,108851,1,0,0,0.0,
maus_miny,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,4430,2093,64873,1,0,0,0.0,
myga_tse,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1,,,,,,,0.0,
nikglykos,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,2,7939,6406,242619,0,0,0,0.0,
pJNs4ACgiayAknX,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,2148,2291,27489,1,0,0,0.0,
panagitsma78169,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,1,0,75,97,5535,1,0,0,0.0,
steliostso,1,0,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,6021,5844,66740,0,0,0,0.0,
