account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
loudovikos14os,True,1,1,0,0,1.0,0,1,1,0,0.0,FootyHumour,1,1.0,0,0,447,343,22227,2015-06-30T19:46:57+03:00,True,False,False,el,45.0
ScroogeKifissia,True,10,9,1,2,0.9,9,9,9,0,0.0,Left_Spear,1,0.1111,1,0,22583,21851,55002,2021-09-15T15:14:24+03:00,True,False,False,el,43.86
QuercusLg,True,4,4,0,1,1.0,3,4,3,0,0.0,giorgoschris2,2,0.5,2,0,1072,1190,141997,2022-07-18T12:10:29+03:00,True,False,False,el,43.75
phtochos1,True,2,1,1,0,0.5,1,1,1,1,1.0,Athanasiosfara1,1,1.0,0,0,11073,9207,144466,2022-04-11T16:18:56+03:00,True,False,False,el,43.75
Volcom40893832,True,3,3,0,0,1.0,1,3,2,0,0.0,AdonisGeorgiadi,2,0.6667,0,4,835,837,13001,2019-03-28T15:16:11+02:00,True,False,False,el,42.92
Anastasia7882,True,4,4,0,0,1.0,4,4,4,0,0.0,TodayinHistory,1,0.25,2,1,854,866,48650,2022-09-29T08:07:34+03:00,True,False,False,en,42.5
HouseElisabeth_,True,4,4,0,0,1.0,4,4,4,0,0.0,Cursed41926,1,0.25,2,0,488,1041,6145,2016-12-11T22:15:34+02:00,False,False,False,,42.5
margko73,True,4,4,0,0,1.0,4,4,4,0,0.0,tbickle1976,1,0.25,0,0,6166,1829,56266,2012-09-26T14:51:46+03:00,False,False,False,el,42.5
michael_exc,True,4,4,0,0,1.0,4,4,4,0,0.0,IRGCarabic,1,0.25,0,1,729,2077,11239,2013-10-27T13:08:54+02:00,False,False,False,und,42.5
hellaspecial,True,2,2,0,0,1.0,2,2,2,0,0.0,alyonapopova,1,0.5,2,0,5639,4361,162537,2018-08-03T17:18:19+03:00,True,False,True,el,42.5
ArisBJJ,True,13,10,3,3,0.7692,6,10,9,4,0.4,Akiratos_,2,0.2,0,2,3224,1346,16278,2011-05-05T15:42:51+03:00,False,False,True,,42.42
ZbejVty,True,6,5,1,0,0.8333,4,5,5,2,0.4,nasos19791979,1,0.2,0,3,4007,4985,151427,2021-09-23T22:50:34+03:00,True,False,False,el,42.17
EthanAnargyrous,True,4,3,1,1,0.75,2,3,3,2,0.6667,steiger_st28082,1,0.3333,0,1,1169,962,40139,2018-07-13T18:09:01+03:00,True,False,False,el,42.08
evangelia_re,True,4,3,1,0,0.75,2,3,3,2,0.6667,DejaLogic,1,0.3333,1,0,5606,4618,15197,2009-09-25T12:19:48+03:00,True,False,False,el,42.08
dimitris7987,True,3,3,0,1,1.0,3,3,3,0,0.0,PlakiasNikos,1,0.3333,1,1,908,546,38231,2025-02-09T10:13:09+02:00,True,False,False,,42.08
themagus2022,True,3,3,0,0,1.0,3,3,3,0,0.0,AHD_from_TX,1,0.3333,0,0,242,482,17024,2022-08-23T18:10:12+03:00,True,True,False,,42.08
anastassios2401,True,7,6,1,1,0.8571,6,6,6,1,0.1667,jurgen_nauditt,1,0.1667,0,0,7547,5666,123293,2012-11-23T11:38:38+02:00,True,False,False,el,41.67
anarchistdonkey,True,10,9,1,2,0.9,7,9,9,0,0.0,Technomagos,1,0.1111,3,0,5612,2372,160157,2013-12-31T18:56:09+02:00,False,False,False,el,41.36
MariaKagia4603,True,4,4,0,1,1.0,3,4,4,0,0.0,ChristinaA43891,1,0.25,1,0,120,339,3141,2025-01-09T18:11:36+02:00,True,False,False,,41.25
Torquem21743459,True,2,2,0,0,1.0,1,2,2,0,0.0,ArisPortosalte,1,0.5,0,3,528,1417,15716,2018-06-19T23:40:49+03:00,True,False,False,el,41.25
InafiZinaf1,True,2,2,0,0,1.0,0,2,2,0,0.0,AdonisGeorgiadi,1,0.5,0,0,557,173,1078,2025-03-16T01:19:59+02:00,True,False,False,el,40.0
aekzurich21,True,2,2,0,0,1.0,0,2,2,0,0.0,aekbcgr,1,0.5,2,0,263,846,16614,2023-06-24T12:33:54+03:00,True,False,False,en,40.0
ledentiste2,True,5,4,1,1,0.8,4,4,4,1,0.25,ips1987,1,0.25,2,0,2588,3328,37639,2020-06-23T14:08:57+03:00,True,False,False,el,39.25
SagamoreMount,True,4,4,0,1,1.0,1,4,4,0,0.0,MirandaPrada_,1,0.25,0,3,134,425,4111,2024-08-26T17:13:12+03:00,True,False,False,en,38.75
kostasagg1965,True,3,2,1,1,0.6667,2,2,2,1,0.5,unico11226,1,0.5,0,0,355,7206,34749,2022-04-29T12:39:38+03:00,True,False,False,qst,38.33
MariaKoki3,True,5,4,1,1,0.8,4,4,3,0,0.0,HellenicOlympic,2,0.5,0,0,1401,753,123802,2022-12-31T23:15:04+02:00,True,False,False,,38.0
EAdamopoulou,True,3,1,2,1,0.3333,0,1,1,1,1.0,GeorghyZhukov,1,1.0,0,2,8667,1792,75832,2011-05-27T17:41:17+03:00,False,False,True,,36.67
g_m_theo,True,3,1,2,1,0.3333,0,1,1,1,1.0,dimitris7987,1,1.0,0,1,6346,5665,60021,2015-01-28T16:06:18+02:00,True,False,False,el,36.67
57lista,True,4,3,1,1,0.75,1,3,3,1,0.3333,panta_tif,1,0.3333,0,0,1649,1545,15807,2021-08-27T16:45:31+03:00,True,False,False,el,35.83
GP_74_,True,3,2,1,1,0.6667,0,2,2,1,0.5,BenakisM,1,0.5,0,1,1327,1023,18356,2023-05-26T00:31:47+03:00,True,False,False,el,35.83
lafillemalgard1,True,5,4,1,1,0.8,4,4,4,0,0.0,Alyunan00,1,0.25,0,0,3622,3305,73800,2012-03-10T23:26:31+02:00,False,False,False,en,35.5
JSweetGR,True,6,5,1,2,0.8333,1,5,5,1,0.2,Notorio_rbg,1,0.2,0,2,3253,2123,70935,2009-04-05T08:55:12+03:00,False,False,True,en,35.42
AnAthenianToLDN,True,11,7,4,4,0.6364,4,7,7,3,0.4286,panta_tif,1,0.1429,1,0,22206,2364,229235,2011-05-25T08:32:25+03:00,False,False,False,el,35.13
AthanasiouCccp,True,7,5,2,3,0.7143,4,5,5,1,0.2,Hey_jahid26,1,0.2,0,1,6137,5379,145365,2012-12-21T03:38:54+02:00,True,False,False,en,35.0
KosmidisStathis,True,5,4,1,0,0.8,3,4,4,0,0.0,gio_Kk23,1,0.25,2,0,9688,5717,81657,2014-10-29T18:47:30+02:00,True,False,False,el,34.25
steiger_st28082,True,9,6,3,0,0.6667,5,6,5,0,0.0,MirandaPrada_,2,0.3333,0,4,2121,3166,130052,2023-03-20T11:48:28+02:00,True,False,False,el,32.92
jparthen,True,4,3,1,3,0.75,2,3,3,0,0.0,n_palaiopanou,1,0.3333,0,4,552,475,46522,2009-09-26T01:32:12+03:00,False,False,False,en,32.08
ippotech,True,4,2,2,1,0.5,1,2,2,1,0.5,GP_74_,1,0.5,0,3,3981,4568,81449,2011-03-29T10:20:36+03:00,False,False,False,en,31.25
Mrpresidentgr,True,4,3,1,2,0.75,1,3,3,0,0.0,ictinus_x,1,0.3333,2,1,3817,2976,54071,2009-05-17T13:46:18+03:00,True,False,True,en,30.83
frel_elias,True,3,2,1,2,0.6667,2,2,2,0,0.0,CelestaMs49332,1,0.5,4,0,1142,1676,57594,2011-10-17T18:42:03+03:00,True,False,True,el,30.83
Placebo_0,True,8,5,3,1,0.625,5,5,5,0,0.0,DTsakoniti,1,0.2,2,0,6475,3501,326861,2012-02-26T22:07:42+02:00,False,False,False,el,30.12
KyrPantelis3,True,3,2,1,1,0.6667,1,2,2,0,0.0,CharaKara,1,0.5,0,0,394,2408,15084,2022-07-10T02:03:01+03:00,True,False,False,en,29.58
anasiropiastos,True,5,3,2,1,0.6,1,3,2,0,0.0,panta_tif,2,0.6667,0,0,345,290,7402,2025-06-15T13:03:54+03:00,True,False,False,el,28.92
PanosStayis,True,2,1,1,1,0.5,1,1,1,0,0.0,ByJimbob,1,1.0,0,0,347,347,6833,2023-05-23T12:49:49+03:00,True,False,False,el,28.75
RXRqdEgogik2Z9P,True,2,1,1,0,0.5,1,1,1,0,0.0,ntalaoura,1,1.0,0,0,3532,1051,22412,2019-07-24T09:22:59+03:00,True,False,False,el,28.75
despica67766915,True,2,1,1,0,0.5,1,1,1,0,0.0,Nickfarc19,1,1.0,0,0,845,1154,17983,2019-10-01T20:40:41+03:00,True,False,False,,28.75
dkDurcGYTIpZdKl,True,2,1,1,0,0.5,1,1,1,0,0.0,IoannaDementi,1,1.0,0,2,3398,2363,96896,2017-07-12T09:23:14+03:00,True,False,False,el,28.75
isidoragiou1,True,2,1,1,1,0.5,1,1,1,0,0.0,ConstantineLad,1,1.0,0,0,599,291,15256,2015-09-23T23:07:30+03:00,False,False,False,und,28.75
pnevan11,True,2,1,1,0,0.5,1,1,1,0,0.0,Kaybedlerklbu,1,1.0,0,0,619,1459,7987,2016-05-11T00:08:45+03:00,True,False,False,,28.75
foivos_trikkis_,True,12,6,6,5,0.5,6,6,6,0,0.0,UndiagnosedMode,1,0.1667,4,2,1519,807,38658,2020-05-02T04:55:30+03:00,True,False,False,el,26.67
Abovelaw13,True,16,7,9,3,0.4375,7,7,7,0,0.0,GeorgeLiakopou2,1,0.1429,27,8,1065,582,10995,2021-07-26T14:00:44+03:00,True,False,True,en,25.49
amantomatimou,True,8,4,4,3,0.5,4,4,4,0,0.0,Sea_Bass_J,1,0.25,0,0,5606,557,82646,2011-02-21T22:41:57+02:00,False,False,False,,25.0
ArgirNik,True,3,1,2,2,0.3333,1,1,1,0,0.0,LiberalGr,1,1.0,0,0,829,516,156054,2011-09-19T16:56:41+03:00,True,False,False,el,22.92
parodynews,True,3,1,2,2,0.3333,1,1,1,0,0.0,BohuslavskaKate,1,1.0,0,0,3574,4099,180025,2009-11-11T22:30:46+02:00,False,False,False,en,22.92
