account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
consue_banana_,1,156,0.4108,157,2.9842,-2.978,-0.112,0.0,0.0,0
Torquem21743459,1,156,0.4104,158,2.2819,-1.4615,0.7894,41.25,1.0,0
QuercusLg,1,156,0.4099,159,2.6831,-0.5614,1.2557,43.75,1.0,0
communakios,1,156,0.4088,160,2.63,-2.1038,1.6493,45.0,1.0,0
PanosStayis,1,156,0.4083,161,2.049,-2.2569,0.0981,28.75,0.5,0
4lhc_athens,1,156,0.4079,162,3.1486,-3.5256,-1.6589,0.0,0.0,0
aekzurich21,1,156,0.4078,163,2.1803,-1.7942,0.4803,40.0,1.0,0
failosK,1,156,0.4076,164,3.5115,-2.8851,1.0336,0.0,0.0,0
Sunflower19731,1,156,0.4075,165,3.0296,-3.2652,-1.2173,0.0,0.0,0
lafillemalgard1,1,156,0.405,166,2.8191,-0.7164,1.2959,35.5,0.8,0
Anastasia7882,1,156,0.4043,167,2.5413,-0.6782,0.6519,42.5,1.0,0
Dv500x,1,156,0.4033,168,2.8293,-3.1175,-0.7296,0.0,0.0,0
economi94461498,1,156,0.4029,169,2.6625,-1.9912,1.5491,46.25,1.0,0
margko73,1,156,0.402,170,3.0117,-0.9409,1.5695,42.5,1.0,0
KyrPantelis3,1,156,0.4014,171,1.5159,-1.6233,0.5039,29.58,0.6667,0
bobidion,1,156,0.4009,172,3.0753,-2.0563,2.1526,46.25,1.0,0
PhunkD14,1,156,0.3974,173,2.8719,-3.3186,-0.7675,0.0,0.0,0
lordos_noble,1,156,0.3968,174,2.9201,-3.0911,0.0677,0.0,0.0,0
kefalaiouxos,1,156,0.3941,175,2.8939,-3.2978,-0.7106,0.0,0.0,0
le1li,1,156,0.3938,176,2.8437,-2.312,1.1931,46.25,1.0,0
PiraeusStef,1,156,0.3916,177,2.9402,-2.1253,1.8737,46.25,1.0,0
pJNs4ACgiayAknX,1,156,0.3911,178,2.911,-3.0881,0.1759,0.0,0.0,0
pnevan11,1,156,0.3905,179,2.0658,-2.2617,0.9092,28.75,0.5,0
giorgosgreen,1,156,0.3904,180,2.822,-3.24,-0.407,0.0,0.0,0
papa_vaso,1,156,0.3844,181,2.8219,-2.2092,1.5325,46.25,1.0,0
despica67766915,1,156,0.3844,182,1.9868,-2.2384,0.9411,28.75,0.5,0
akrokentrwos_2,1,156,0.3842,183,2.7904,-2.032,2.1873,46.25,1.0,0
NickDanny99,1,156,0.3831,184,2.8227,-2.2208,1.5098,46.25,1.0,0
agapornis_mask,1,156,0.3825,185,2.6026,-2.3547,0.9528,46.25,1.0,0
loudovikos14os,1,156,0.3824,186,2.5623,-2.4303,1.1672,45.0,1.0,0
kostasp194,1,156,0.3816,187,2.7555,-2.1752,2.2041,45.0,1.0,0
RXRqdEgogik2Z9P,1,156,0.3814,188,2.0879,-2.1682,1.2328,28.75,0.5,0
Leniw_Lenia,1,156,0.3808,189,2.4,-2.1544,0.9996,46.25,1.0,0
CMentat,1,156,0.3796,190,2.44,-2.3859,0.7352,46.25,1.0,0
OratiosPoulos,1,156,0.3794,191,2.6253,-2.2501,1.8511,45.0,1.0,0
kokkoriss,1,156,0.3782,192,2.5904,-2.1267,1.8246,46.25,1.0,0
TetraLogiki,1,156,0.3754,193,2.5866,-2.2587,1.8687,45.0,1.0,0
DDeppied,1,156,0.3745,194,2.6123,-2.0701,2.0571,46.25,1.0,0
FrankiKostas,1,156,0.3725,195,2.611,-2.055,2.094,46.25,1.0,0
Kostas18748292,1,156,0.3715,196,2.3878,-2.2599,1.2566,46.25,1.0,0
matrixneo1979,1,156,0.3685,197,2.5255,-2.111,1.8863,46.25,1.0,0
