account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,coordination_score,analyst_label
ptableart,4,4,0,0,1.0,4,4,4,2,0.5,1,0.25,0,0,359,207,15893,650,1,0,0,61,2,4,0,1,2,50.0,
nilsholgerson_,3,3,0,1,1.0,1,3,3,2,0.6667,1,0.3333,0,0,4885,4524,29520,4637,1,0,0,61,1,2,0,2,2,49.58,
VIVITV5,2,2,0,0,1.0,1,2,2,1,0.5,1,0.5,0,0,2012,4243,25125,2892,1,0,0,0,0,0,0,0,0,48.75,
MenoEdo,35,31,4,10,0.8857,10,31,31,10,0.3226,1,0.0323,1,8,2684,2007,178462,1844,1,0,0,61,17,62,4,20,8,48.66,
tasoskar11,3,3,0,0,1.0,0,3,3,2,0.6667,1,0.3333,1,0,221,313,2636,5559,0,0,0,61,3,7,1,5,3,48.33,
theatropoios,12,11,1,3,0.9167,11,11,10,0,0.0,2,0.1818,3,0,638,2099,23455,825,1,0,0,0,0,0,0,0,0,47.65,
JimyWis,3,3,0,0,1.0,3,3,3,1,0.3333,1,0.3333,0,0,656,1732,16172,1835,1,0,0,61,1,2,0,1,2,47.08,
mpantazo,13,12,1,0,0.9231,4,12,12,7,0.5833,1,0.0833,1,3,2453,1352,179295,4327,0,0,0,61,9,28,2,10,5,46.89,
Anthology2026,19,15,4,0,0.7895,14,15,15,1,0.0667,1,0.0667,0,2,300,2396,244,50,1,0,0,61,3,6,1,2,2,46.8,
Agie2a,22,15,7,6,0.6818,8,15,9,10,0.6667,4,0.2667,4,2,4423,3346,82467,1506,1,0,1,61,9,24,1,8,4,46.53,
Asmoudis13,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,3,0,51,563,2123,346,1,0,0,0,0,0,0,0,0,46.25,
CMentat,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,532,656,7087,582,1,0,0,0,0,0,0,0,0,46.25,
DDeppied,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,3802,2897,30944,3057,1,0,0,0,0,0,0,0,0,46.25,
DimitrisP69501,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,40,240,825,140,1,0,0,0,0,0,0,0,0,46.25,
FrankiKostas,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,2675,2327,55165,4045,1,0,0,0,0,0,0,0,0,46.25,
Kabamaru__n,1,1,0,1,1.0,1,1,1,0,0.0,1,1.0,0,0,11,4,486,771,1,0,0,0,0,0,0,0,0,46.25,
Konstan18155165,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,1,0,35,193,528,403,1,0,0,0,0,0,0,0,0,46.25,
Kostas18748292,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,604,811,19558,2056,1,0,0,0,0,0,0,0,0,46.25,
Leniw_Lenia,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,1,0,543,527,17354,1551,1,0,0,0,0,0,0,0,0,46.25,
NickDanny99,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,1718,1209,17369,4217,0,0,0,0,0,0,0,0,0,46.25,
